[[ob_order_id]],shipment_id,origin_ib,destination_ib,pick_up_date_time_ib,delivery_date_time_ib,origin_ob,destination_ob,origin_ob_geo,destination_ob_geo,pick_up_date_time_ob,delivery_date_time_ob,client_name,freight_rate,benefit,state,radius,equipment_type,status,cdty_cd,srvc_cd,carr,pull_tm,schd_drop,contact,weight,email,quantity,cube,total_time,incremental_time,incremental_distance,expense
,25637994,"HOUSTON, TX","LAPORTE, TX",30.07.2020 09:00:01,30.07.2020 09:25:25,"PASADENA, TX","HUMBLE, TX",29.656919;-95.138827,29.999389;-95.270574,30.07.2020 11:09:52,30.07.2020 11:45:38,SCOTLYNN,$600,499,TX,75,VAN (VR),ALL,DRYDRAUGHT,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:25:25,239-210-3000,,non,non,non,04:10:53,170,38,101
,25675977,"HOUSTON, TX","PASADENA, TX",30.07.2020 09:00:01,30.07.2020 09:18:28,"PASADENA, TX","HOUSTON, TX",29.656919;-95.138827,29.74475;-95.362966,30.07.2020 10:55:57,30.07.2020 11:17:30,EPES LOG,$441,373,TX,75,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:18:28,800-659-1117,41200,non,non,non,03:31:44,145,17,68
,25675979,"HOUSTON, TX","TEXAS CITY, TX",30.07.2020 09:00:01,30.07.2020 09:40:55,"MISSOURI CITY, TX","HOUSTON, TX",29.56157;-95.543829,29.74475;-95.362966,30.07.2020 12:03:41,30.07.2020 12:31:29,BNSF LOG,$450,353,TX,75,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:40:55,844-797-8188,,non,non,non,04:45:43,174,34,97
,25675982,"HOUSTON, TX","AUSTIN, TX",30.07.2020 09:00:01,30.07.2020 11:54:57,"SAN ANTONIO, TX","LA PORTE, TX",29.451246;-98.530923,29.671039;-95.057841,30.07.2020 15:14:40,30.07.2020 19:12:30,C H ROBI,$850,555,TX,75-200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 11:54:57,833-428-5247,,non,non,non,11:37:39,318,162,295
,25675985,"HOUSTON, TX","BATON ROUGE, LA",30.07.2020 09:00:01,30.07.2020 11:59:10,"BRYAN, TX","HOUSTON, TX",30.696383;-96.358049,29.74475;-95.362966,30.07.2020 17:18:06,30.07.2020 19:19:45,RFX INC,$624,344,TX,200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 11:59:10,417-858-8588,44907,non,non,non,11:33:59,306,152,280
,25675986,"HOUSTON, TX","PASADENA, TX",30.07.2020 09:00:01,30.07.2020 09:18:28,"HOUSTON, TX","SPRING, TX",29.74475;-95.362966,30.059207;-95.388579,30.07.2020 11:13:54,30.07.2020 11:51:53,RED RIVE,$603,473,TX,75,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:18:28,817-697-4310,43700,non,non,non,04:29:40,203,53,130
,25675988,"HOUSTON, TX","ROSENBERG, TX",30.07.2020 09:00:01,30.07.2020 09:56:55,"HOUSTON, TX","CONROE, TX",29.74475;-95.362966,30.31493;-95.471634,30.07.2020 12:14:01,30.07.2020 13:03:13,SCOTLYNN,$475,314,TX,75,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:56:55,239-210-3000,,non,non,non,05:54:18,210,78,161
,25675991,"HOUSTON, TX","HOUSTON, TX",30.07.2020 09:00:01,30.07.2020 09:18:47,"MISSOURI CITY, TX","HOUSTON, TX",29.56157;-95.543829,29.74475;-95.362966,30.07.2020 11:18:06,30.07.2020 11:45:54,BNSF LOG,$450,347,TX,75,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:18:47,844-797-8188,13557,non,non,non,04:00:08,172,40,103
,25675993,"HOUSTON, TX","PASADENA, TX",30.07.2020 09:00:01,30.07.2020 09:18:28,"HOUSTON, TX","NACOGDOCHES, TX",29.74475;-95.362966,31.613429;-94.645783,30.07.2020 11:13:54,30.07.2020 14:11:32,ALLEN LU,$628,130,TX,75-200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:18:28,800-254-5863,44530,non,non,non,08:42:56,456,295,498
,25675994,"HOUSTON, TX","DALLAS, TX",30.07.2020 09:00:01,30.07.2020 13:32:27,"HUTCHINS, TX","HOUSTON, TX",32.661711;-96.726832,29.74475;-95.362966,30.07.2020 15:22:14,30.07.2020 19:40:48,C H ROBI,$700,643,TX,200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:32:27,833-428-5247,17304,non,non,non,11:55:02,141,9,57
,25675995,"HOUSTON, TX","DALLAS, TX",30.07.2020 09:00:01,30.07.2020 13:32:27,"DALLAS, TX","HOUSTON, TX",32.787629;-96.79941,29.74475;-95.362966,30.07.2020 15:10:33,30.07.2020 19:30:57,TOTAL QU,$682,635,TX,200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:32:27,800-580-3101,30000,non,non,non,11:45:11,131,4,47
,25676000,"HOUSTON, TX","SAN ANTONIO, TX",30.07.2020 09:00:01,30.07.2020 12:38:05,"SAN ANTONIO, TX","TOMBALL, TX",29.451246;-98.530923,30.099676;-95.615117,30.07.2020 14:16:52,30.07.2020 18:15:14,MOUNTAIN,$850,746,TX,75-200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 12:38:05,817-552-1910,1400,non,non,non,11:05:05,199,33,104
,25676001,"HOUSTON, TX","HOUSTON (CYPRESS), TX",30.07.2020 09:00:01,30.07.2020 09:35:57,"HOUSTON, TX","SAN ANTONIO, TX",29.74475;-95.362966,29.451246;-98.530923,30.07.2020 11:36:37,30.07.2020 15:14:02,PURPOSE,$950,303,TX,75-200,VAN (VB),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:35:57,972-746-4585,25000,non,non,non,10:47:41,546,396,647
,25676002,"HOUSTON, TX","DALLAS, TX",30.07.2020 09:00:01,30.07.2020 13:32:27,"DALLAS, TX","HOUSTON, TX",32.787629;-96.79941,29.74475;-95.362966,30.07.2020 15:10:33,30.07.2020 19:30:57,TOTAL QU,$682,635,TX,200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:32:27,800-580-3101,30000,non,non,non,11:45:11,131,4,47
,25676003,"HOUSTON, TX","DALLAS, TX",30.07.2020 09:00:01,30.07.2020 13:32:27,"DALLAS, TX","HOUSTON, TX",32.787629;-96.79941,29.74475;-95.362966,30.07.2020 15:10:33,30.07.2020 19:30:57,C H ROBI,$682,635,TX,200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:32:27,833-428-5247,41066,non,non,non,11:45:11,131,4,47
,25676004,"HOUSTON, TX","DALLAS, TX",30.07.2020 09:00:01,30.07.2020 13:32:27,"DALLAS, TX","HOUSTON, TX",32.787629;-96.79941,29.74475;-95.362966,30.07.2020 15:10:33,30.07.2020 19:30:57,TOTAL QU,$682,635,TX,200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:32:27,800-580-3101,42000,non,non,non,11:45:11,131,4,47
,25676005,"HOUSTON, TX","HOUSTON, TX",30.07.2020 09:00:01,30.07.2020 09:18:47,"HOUSTON, TX","HUNTSVILLE, TX",29.74475;-95.362966,30.71794;-95.569723,30.07.2020 10:58:04,30.07.2020 12:18:29,NT LOGIS,$500,247,TX,75,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:18:47,469-362-5050,2800,non,non,non,05:38:59,271,139,253
,25676006,"HOUSTON, TX","PASADENA, TX",30.07.2020 09:00:01,30.07.2020 09:18:28,"HOUSTON, TX","NACOGDOCHES, TX",29.74475;-95.362966,31.613429;-94.645783,30.07.2020 11:13:54,30.07.2020 14:11:32,ALLEN LU,$628,130,TX,75-200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:18:28,800-254-5863,43500,non,non,non,08:42:56,456,295,498
,25676007,"HOUSTON, TX","DALLAS, TX",30.07.2020 09:00:01,30.07.2020 13:32:27,"DALLAS, TX","HOUSTON, TX",32.787629;-96.79941,29.74475;-95.362966,30.07.2020 15:10:33,30.07.2020 19:30:57,ROAR LOG,$682,635,TX,200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:32:27,716-775-6208,8000,non,non,non,11:45:11,131,4,47
,25676008,"HOUSTON, TX","BEAUMONT, TX",30.07.2020 09:00:01,30.07.2020 10:16:25,"MALAKOFF, TX","HOUSTON, TX",32.173812;-96.010377,29.74475;-95.362966,30.07.2020 15:28:51,30.07.2020 19:22:47,TRI-STAT,$623,57,TX,75-200,VAN (FSDV),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 10:16:25,843-407-7919,,non,non,non,11:37:01,515,336,566
,25676015,"HOUSTON, TX","DALLAS, TX",30.07.2020 09:00:01,30.07.2020 13:32:27,"DALLAS, TX","HOUSTON, TX",32.787629;-96.79941,29.74475;-95.362966,30.07.2020 15:10:33,30.07.2020 19:30:57,TOTAL QU,$682,635,TX,200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:32:27,800-580-3101,44455,non,non,non,11:45:11,131,4,47
,25676016,"HOUSTON, TX","DALLAS, TX",30.07.2020 09:00:01,30.07.2020 13:32:27,"DALLAS, TX","HOUSTON, TX",32.787629;-96.79941,29.74475;-95.362966,30.07.2020 15:10:33,30.07.2020 19:30:57,TOTAL QU,$682,635,TX,200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:32:27,800-580-3101,,non,non,non,11:45:11,131,4,47
,25676017,"HOUSTON, TX","ROSENBERG, TX",30.07.2020 09:00:01,30.07.2020 09:56:55,"SAN ANTONIO, TX","TOMBALL, TX",29.451246;-98.530923,30.099676;-95.615117,30.07.2020 14:55:28,30.07.2020 18:53:50,MOUNTAIN,$798,180,TX,75-200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:56:55,817-552-1910,43500,non,non,non,11:43:41,560,368,618
,25676018,"HOUSTON, TX","SAN ANTONIO, TX",30.07.2020 09:00:01,30.07.2020 12:38:05,"SAN ANTONIO, TX","TOMBALL, TX",29.451246;-98.530923,30.099676;-95.615117,30.07.2020 14:16:52,30.07.2020 18:15:14,MOUNTAIN,$798,694,TX,75-200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 12:38:05,817-552-1910,1400,non,non,non,11:05:05,199,33,104
,25676019,"HOUSTON, TX","PASADENA, TX",30.07.2020 09:00:01,30.07.2020 09:18:28,"HOUSTON, TX","LANCASTER, TX",29.74475;-95.362966,32.60025;-96.771029,30.07.2020 11:13:54,30.07.2020 15:29:07,SCHNEIDE,$950,184,TX,200,VAN (RV),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:18:28,800-558-3957,42000,non,non,non,11:48:11,642,470,766
,25676020,"HOUSTON, TX","TEXAS CITY, TX",30.07.2020 09:00:01,30.07.2020 09:40:55,"SAN ANTONIO, TX","HOUSTON, TX",29.451246;-98.530923,29.74475;-95.362966,30.07.2020 15:53:13,30.07.2020 19:22:15,TTS LLC,$780,114,TX,75-200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:40:55,972-924-9919,44000,non,non,non,11:36:29,585,402,666
,25676022,"HOUSTON, TX","DALLAS, TX",30.07.2020 09:00:01,30.07.2020 13:32:27,"DALLAS, TX","HOUSTON, TX",32.787629;-96.79941,29.74475;-95.362966,30.07.2020 15:10:33,30.07.2020 19:30:57,ROAR LOG,$682,635,TX,200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:32:27,716-775-6208,44500,non,non,non,11:45:11,131,4,47
,25676023,"HOUSTON, TX","SAN ANTONIO, TX",30.07.2020 09:00:01,30.07.2020 12:38:05,"SAN ANTONIO, TX","CONROE, TX",29.451246;-98.530923,30.31493;-95.471634,30.07.2020 14:16:52,30.07.2020 18:35:03,BECKER L,$804,661,TX,75-200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 12:38:05,630-529-0700,45000,non,non,non,11:26:08,220,60,143
,25676025,"HOUSTON, TX","PASADENA, TX",30.07.2020 09:00:01,30.07.2020 09:18:28,"SAN ANTONIO, TX","LA PORTE, TX",29.451246;-98.530923,29.671039;-95.057841,30.07.2020 14:47:07,30.07.2020 18:44:57,C H ROBI,$774,59,TX,75-200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:18:28,833-428-5247,45200,non,non,non,11:10:06,604,437,715
,25676026,"HOUSTON, TX","AUSTIN, TX",30.07.2020 09:00:01,30.07.2020 11:54:57,"WACO, TX","HOUSTON, TX",31.547751;-97.152218,29.74475;-95.362966,30.07.2020 15:53:01,30.07.2020 19:19:49,AMINO TR,$634,380,TX,75-200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 11:54:57,972-982-7330,,non,non,non,11:34:03,314,128,254
,25676029,"HOUSTON, TX","HOUSTON (CYPRESS), TX",30.07.2020 09:00:01,30.07.2020 09:35:57,"WACO, TX","HOUSTON, TX",31.547751;-97.152218,29.74475;-95.362966,30.07.2020 14:46:10,30.07.2020 18:12:58,AMINO TR,$634,64,TX,75-200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:35:57,972-982-7330,43000,non,non,non,10:27:12,525,337,570
,25676030,"HOUSTON, TX","BATON ROUGE, LA",30.07.2020 09:00:01,30.07.2020 11:59:10,"BRYAN, TX","HOUSTON, TX",30.696383;-96.358049,29.74475;-95.362966,30.07.2020 17:18:06,30.07.2020 19:19:45,RFX INC,$624,344,TX,200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 11:59:10,417-858-8588,44000,non,non,non,11:33:59,306,152,280
,25676033,"HOUSTON, TX","HOUSTON, TX",30.07.2020 09:00:01,30.07.2020 09:18:47,"HOUSTON, TX","SPRING, TX",29.74475;-95.362966,30.059207;-95.388579,30.07.2020 10:58:04,30.07.2020 11:36:03,RED RIVE,$800,689,TX,75,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:18:47,817-697-4310,45000,non,non,non,04:13:50,186,42,111
,25676034,"HOUSTON, TX","LONGVIEW, TX",30.07.2020 09:00:01,30.07.2020 13:15:46,"HOUSTON, TX","DAYTON, TX",29.74475;-95.362966,30.041763;-94.893422,30.07.2020 18:28:50,30.07.2020 19:06:01,WATCO SU,$604,481,TX,75-200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:15:46,479-717-6600,45000,non,non,non,11:40:04,158,60,123
,25676036,"HOUSTON, TX","ROSENBERG, TX",30.07.2020 09:00:01,30.07.2020 09:56:55,"HOUSTON, TX","TEMPLE, TX",29.74475;-95.362966,31.100124;-97.354661,30.07.2020 12:14:01,30.07.2020 15:43:31,TRAILER,$600,32,TX,75-200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:56:55,888-660-0365,,non,non,non,11:20:09,536,331,568
,25676037,"HOUSTON, TX","BEAUMONT, TX",30.07.2020 09:00:01,30.07.2020 10:16:25,"MALAKOFF, TX","HOUSTON, TX",32.173812;-96.010377,29.74475;-95.362966,30.07.2020 15:28:51,30.07.2020 19:22:47,TRINITY,$623,57,TX,75-200,VAN (VF),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 10:16:25,806-722-0500,45000,non,non,non,11:37:01,515,336,566
,25676039,"HOUSTON, TX","CONROE, TX",30.07.2020 09:00:01,30.07.2020 09:54:41,"CORSICANA, TX","HOUSTON, TX",32.074336;-96.445079,29.74475;-95.362966,30.07.2020 13:55:26,30.07.2020 17:07:23,ONLINE L,$605,120,TX,75-200,VAN (VF),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:54:41,800-476-7977,46000,non,non,non,09:21:37,422,293,485
,25676040,"HOUSTON, TX","CONROE, TX",30.07.2020 09:00:01,30.07.2020 09:54:41,"CORSICANA, TX","HOUSTON, TX",32.074336;-96.445079,29.74475;-95.362966,30.07.2020 13:55:26,30.07.2020 17:07:23,ONLINE L,$626,141,TX,75-200,VAN (VF),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:54:41,800-476-7977,28000,non,non,non,09:21:37,422,293,485
,25676041,"HOUSTON, TX","HOUSTON (CYPRESS), TX",30.07.2020 09:00:01,30.07.2020 09:35:57,"HOUSTON, TX","HUMBLE, TX",29.74475;-95.362966,29.999389;-95.270574,30.07.2020 11:36:37,30.07.2020 11:57:31,SCOTLYNN,$600,508,TX,75,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:35:57,239-210-3000,,non,non,non,04:22:46,161,33,92
