_id_|RATE PER MILE|RATE POSTED|MARKET RATE|SHIPPER NAME|SHIPPER CONTACT NUMBER|EQUIPMENT TYPE|PICKUP DATE|ORIGIN CITY|DIST FROM ORIGIN|DEST CITY|DISTANCE FROM DESTINATION|WEIGHT|MILES
24||||TTS LLC|817-728-5525|V|2020-07-30|MANSFIELD||HOUSTON||8000|242
25||||BECKER L|630-529-0700|V|2020-07-30|MESQUITE||HOUSTON||45000|241
26||||BECKER L|630-529-0700|V|2020-07-30|MESQUITE||CONROE||45000|203
27|$1.96|$500||RAPID TR|615-867-9902|VF|2020-07-30|MILLSAP||BEAUMONT||44000|347
28||||TRINITY|806-722-0500|VF|2020-07-30|MILLSAP||BEAUMONT||45000|347
29||||PATHMARK|901-362-1555|V|2020-07-30|RICHLAND HILLS||HOUSTON||22358|262
30||||WARREN S|800-206-7980|V|2020-07-30|ROYSE CITY||HOUSTON||20000|264
31||||LANDSTAR|346-330-2444|V|2020-07-30|SUNNYVALE||SEALY||40000|243
32||||AMINO TR|972-982-7330|V|2020-07-30|WACO||HOUSTON|||184
33||||D I F IN|972-570-4848|V|2020-07-30|WAXAHACHIE||HOUSTON|||218
34||||SCHNEIDE|800-558-3957|V|2020-07-30|AUSTIN||TEMPLE||15000|251
35||||C H ROBI|833-428-5247|VR|2020-07-30|BAYTOWN||AUSTIN||9000|285
36||||RECOUP I|732-744-1411|V|2020-07-30|BROWNSVILLE||HOUSTON||40094|99
37||||RFX INC|417-858-8588|V|2020-07-30|BRYAN||HOUSTON||44907|350
38||||PLS LOGI|724-814-5860|V|2020-07-30|BUFFALO||CUERO||40094|99
39||||PLS LOGI|724-814-5873|V|2020-07-30|BUFFALO||CUERO||2000|304
40||||HUB HIGH|844-887-4582|V|2020-07-30|CARROLLTON||HOUSTON||45389|168
41||||C H ROBI|833-428-5247|V|2020-07-30|CARROLLTON||ORANGE||33139|201
42||||WATCO SU|913-601-4135|V|2020-07-30|CARROLLTON||HOUSTON||22358|262
43||||HUB HIGH|412-787-6210|V|2020-07-30|CARROLLTON||HOUSTON||2000|304
44||||DSV ROAD|618-310-0092|V|2020-07-30|COOPER||MEXIA||45000|261
45||||ONLINE L|800-476-7977|VF|2020-07-30|CORSICANA||HOUSTON||28000|192
46||||MANDUJAN|432-940-9968|VR|2020-07-30|COYANOSA||SAN ANTONIO||28000|192
47||||TRINITY|877-346-4455|VR|2020-07-30|DALLAS||TYLER||42000|291
48||||TRINITY|877-346-4455|VR|2020-07-30|DALLAS||TYLER||23228|369
49||||ROAR LOG|716-775-6208|VR|2020-07-30|DALLAS||HOUSTON||8000|242
50||||NT LOGIS|469-362-5050|V|2020-07-30|DALLAS||PASADENA||45007|0
51||||TOTAL QU|800-580-3101|VR|2020-07-30|DALLAS||HOUSTON||42000|0
52||||C H ROBI|833-428-5247|V|2020-07-30|DALLAS||LUFKIN||33094|111
53||||TOTAL QU|800-580-3101|VR|2020-07-30|DALLAS||NACOGDOCHES||20618|125
54||||TOTAL QU|800-580-3101|VR|2020-07-30|DALLAS||HOUSTON||42000|255
55||||REDWOOD|312-698-8300|V|2020-07-30|DALLAS||SAN ANTONIO||44500|240
56||||TOTAL QU|800-580-3101|VR|2020-07-30|DALLAS||HOUSTON||44455|264
57|$2.75|$605||TOTAL QU|800-580-3101|VR|2020-07-30|DALLAS||HOUSTON||40000|220
58|$2.93|$645||FLS TRAN|877-823-0036|VR|2020-07-30|DALLAS||TYLER||40000|220
59||||C H ROBI|833-428-5247|V|2020-07-30|DALLAS||HOUSTON||41066|382
60|$1.95|$500||LANDSTAR|330-484-2694|V|2020-07-30|DELL CITY||LOCKHART||6796|256
61||||ONLINE L|800-476-7977|VF|2020-07-30|DENTON||AUSTIN||13000|798
62||||ONLINE L|800-476-7977|VF|2020-07-30|DENTON||ELGIN||15000|247
63||||TRINITY|806-722-0500|VF|2020-07-30|DENTON||ELGIN||40000|211
64||||TTS LLC|972-924-9919|V|2020-07-30|EL PASO||GALVESTON||44000|196
65||||AMERICAN|716-337-5000|V|2020-07-30|EL PASO||HOUSTON||35000|161
66||||LANDSTAR|616-261-4626|V|2020-07-30|EL PASO||SAN ANTONIO||42000|747
67||||PLS LOGI|469-513-4854|V|2020-07-30|EL PASO||HOUSTON||43576|207
68||||AMERICAN|716-337-5000|V|2020-07-30|EL PASO||HOUSTON||45000|241
69||||LOADSTON|575-523-7000|V|2020-07-30|EL PASO||HOUSTON||45000|228
70||||WARHORSE|915-920-0380|V|2020-07-30|EL PASO||WAELDER||45000|203
71||||PLS LOGI|469-513-4854|V|2020-07-30|EL PASO||HOUSTON||20000|552
72||||PATHMARK|901-362-1555|VR|2020-07-30|FORT WORTH||LUFKIN||40000|243
73||||PALADIN|469-476-5611|V|2020-07-30|FORT WORTH||HOUSTON||42000|350
74||||TOTAL QU|800-580-3101|VR|2020-07-30|FORT WORTH||DAYTON||30000|256
75||||COYOTE L|773-799-2118|V|2020-07-30|FORT WORTH||NORTH HOUSTON||40285|374
76||||LANDSTAR|347-354-4647|V|2020-07-30|FORT WORTH||BROOKSHIRE||48000|576
77||||PLS LOGI|469-513-4854|V|2020-07-30|FORT WORTH||HOUSTON||44500|468
78||||CHARIOT|615-206-7080|V|2020-07-30|FORT WORTH||WACO||44000|480
79||||CHARIOT|615-206-7080|V|2020-07-30|FORT WORTH||WACO||44000|480
80||||AMINO TR|817-440-2445|VR|2020-07-30|FRANKSTON||WACO||45000|163
81||||ALLEN LU|800-254-5863|V|2020-07-30|FT WORTH||ROSENBERG|||468
82||||TRINITY|877-346-4455|V|2020-07-30|GRAND PRAIRIE||HOUSTON||45000|311
83||||PURPOSE|972-746-4585|V|2020-07-30|GRAND PRAIRIE||TEMPLE|||598
84||||TTS LLC|972-924-9919|V|2020-07-30|GRAPEVINE||AUSTIN|||747
85||||NT LOGIS|469-362-5050|VR|2020-07-30|HAWKINS||AUSTIN|||261
86||||EDGE LOG|312-319-4766|VR|2020-07-30|HOUSTON||TEMPLE||42000|747
87|$5.09|$850||EDGE LOG|312-319-4766|VR|2020-07-30|HOUSTON||HOUSTON||45240|167
88||||TOTAL QU|800-580-3101|VR|2020-07-30|HOUSTON||HOUSTON||44411|86
89||||CHOPTANK|800-568-2240|V|2020-07-30|HOUSTON||TYLER||43558|86
90|$2.54|$500||CHOPTANK|800-568-2240|V|2020-07-30|HOUSTON||TYLER||44000|197
91||||STAT ALL|754-779-8211|V|2020-07-30|HOUSTON||SAN ANTONIO||41200|15
92|$1.43|$500||NT LOGIS|469-362-5050|VR|2020-07-30|HOUSTON||HUNTSVILLE||2800|350
93|$2.31|$600||TRAILER|888-660-0365|V|2020-07-30|HOUSTON||TEMPLE|||260
94||||WATCO SU|479-717-6600|V|2020-07-30|HOUSTON||DAYTON|||253
95||||ALLEN LU|800-254-5863|V|2020-07-30|HOUSTON||NACOGDOCHES||43500|320
96||||SCOTLYNN|239-210-3000|VR|2020-07-30|HOUSTON||CONROE||20000|264
97||||SCOTLYNN|239-210-3000|VR|2020-07-30|HOUSTON||HOUSTON|||747
98||||SCOTLYNN|239-210-3000|VR|2020-07-30|HOUSTON||HUMBLE||17304|227
99||||RYAN TRA|888-492-3628|VR|2020-07-30|HOUSTON||WACO|||70
100||||PURPOSE|972-746-4585|VB|2020-07-30|HOUSTON||SAN ANTONIO||18590|314
101|$2.03|$800||RED RIVE|817-697-4310|VR|2020-07-30|HOUSTON||SPRING||45000|394
102|$3.21|$700||7C LOGIS|469-242-1777|VR|2020-07-30|HUNTSVILLE||SAN ANTONIO|||218
103||||XPO LOGI|855-744-7976|V|2020-07-30|HUTCHINS||MC GREGOR|||168
104||||SUNSET T|855-306-0335|VR|2020-07-30|HUTCHINS||TEMPLE||1400|212
105|$2.01|$1,200||C H ROBI|833-428-5247|V|2020-07-30|HUTCHINS||HOUSTON||40000|598
106||||J H ROSE|956-217-5263|V|2020-07-30|IRVING||KILLEEN||41000|350
107||||TRINITY|806-288-7697|V|2020-07-30|JEFFERSON||SCHULENBURG||15725|314
108||||J B HUNT|800-723-0888|V|2020-07-30|JEFFERSON||HOUSTON||45000|37
109|$3.39|$400||DIRECT D|414-329-6406|V|2020-07-30|JEFFERSON||MADISONVILLE||42000|118
110||||DIRECT D|414-329-6406|V|2020-07-30|JEFFERSON||BRYAN||25000|72
111||||ROAR LOG|716-775-6208|VR|2020-07-30|LANCASTER||DAYTON|||17
112|$4.43|$350||COYOTE L|773-799-2118|VR|2020-07-30|LAREDO||HOUSTON||25052|79
113|$4.80|$475||COYOTE L|773-799-2118|VR|2020-07-30|LAREDO||SEABROOK||44000|99
114||||LANDSTAR|479-765-0500|V|2020-07-30|LAREDO||HOUSTON||15000|261
115||||LANDSTAR|956-324-9807|V|2020-07-30|LAREDO||BAYTOWN||33000|232
116||||LANDSTAR|956-744-5696|V|2020-07-30|LAREDO||TYLER||44530|140
117||||DSV ROAD|956-753-6328|V|2020-07-30|LAREDO||TYLER|||629
118||||ALL CARR|210-485-7814|VR|2020-07-30|LAREDO||HOUSTON|||39
119||||NATIONWI|916-883-2624|V|2020-07-30|LAREDO||HOUSTON|||29
120||||C H ROBI|833-428-5247|V|2020-07-30|LAREDO||GEORGETOWN|||0
121||||RED CLAS|469-786-2605|VR|2020-07-30|LAREDO||HOUSTON|||19
122||||LOKE GLO|952-583-9271|V|2020-07-30|LAREDO||HOUSTON||44020|185
123||||C H ROBI|833-428-5247|VR|2020-07-30|LAREDO||HOUSTON|||285
124||||LANDSTAR|210-272-9850|VR|2020-07-30|LAREDO||HOUSTON|||214
125|$8.33|$250||C H ROBI|833-428-5247|VR|2020-07-30|LAREDO||HOUSTON||30000|30
126|$2.86|$1,000||C H ROBI|833-428-5247|VR|2020-07-30|LAREDO||JERSEY VILLAGE||44000|350
127||||C H ROBI|833-428-5247|V|2020-07-30|LAREDO||HOUSTON||42000|138
128|$2.29|$800||REDWOOD|737-238-4634|V|2020-07-30|LAREDO||HOUSTON||43000|350
129|$2.81|$500||REDWOOD|737-238-4634|V|2020-07-30|LAREDO||HOUSTON||39000|178
130|$2.37|$550||INFINITE|956-267-7569|V|2020-07-30|LAREDO||HOUSTON||39000|232
131||||INFINITE|956-267-7569|V|2020-07-30|LAREDO||NEW BRAUNFELS||42000|350
132||||INFINITE|956-267-7569|V|2020-07-30|LAREDO||SEALY||42000|240
133||||LANDSTAR|479-765-0500|V|2020-07-30|LITTLE ELM||DICKINSON||44177|169
134||||ESTES FO|877-374-3399|V|2020-07-30|LITTLE ELM||DICKINSON||20000|182
135||||TRI-STAT|843-407-7919|FSDV|2020-07-30|MALAKOFF||HOUSTON||30000|240
136||||TRINITY|806-722-0500|VF|2020-07-30|MALAKOFF||HOUSTON|||275
137||||ONLINE L|800-476-7977|VF|2020-07-30|MALAKOFF||HOUSTON|||210
138||||RAPID TR|615-867-9902|VF|2020-07-30|MALAKOFF||HOUSTON|||240
139|$2.86|$1,000||TTS LLC|817-728-5525|V|2020-07-30|MANSFIELD||HOUSTON||42000|350
140||||BECKER L|630-529-0700|V|2020-07-30|MESQUITE||HOUSTON||41192|350
141||||BECKER L|630-529-0700|V|2020-07-30|MESQUITE||CONROE||42500|344
142||||LANDSTAR|210-318-4560|V|2020-07-30|MIDLAND||HOCKLEY||30000|240
143|$1.96|$500||LANDSTAR|210-318-4560|V|2020-07-30|MIDLAND||HOCKLEY||44000|255
144||||TRINITY|806-722-0500|VF|2020-07-30|MILLSAP||BEAUMONT||42000|255
145||||RAPID TR|615-867-9902|VF|2020-07-30|MILLSAP||BEAUMONT||45200|187
146||||BNSF LOG|844-797-8188|VR|2020-07-30|MISSOURI CITY||HOUSTON||13557|350
147||||PROPAK L|615-647-6833|V|2020-07-30|MOUNT PLEASANT||JERSEY VILLAGE||43500|305
148|$4.82|$950||PROPAK L|615-647-6833|V|2020-07-30|MOUNT PLEASANT||JERSEY VILLAGE||25000|197
149||||PLS LOGI|724-814-5056|V|2020-07-30|ORLA||HOUSTON|||208
150||||KING OF|316-530-8363|V|2020-07-30|ORLA||HOUSTON|||184
151|$2.04|$425||REED TRA|813-369-6500|V|2020-07-30|PARIS||ROSENBERG|||208
152||||YELLOW D|714-617-1752|V|2020-07-30|PASADENA||TAFT||45000|210
153||||EPES LOG|800-659-1117|V|2020-07-30|PASADENA||HOUSTON||38354|292
154||||SCOTLYNN|239-210-3000|VR|2020-07-30|PASADENA||HUMBLE||46000|226
155||||NT LOGIS|469-362-5050|VR|2020-07-30|PASADENA||TYLER||46000|234
156||||GLOBAL M|956-415-1219|V|2020-07-30|POTEET||SAN ANTONIO||46000|189
157||||KING OF|316-530-5111|V|2020-07-30|QUANAH||TENAHA||46000|210
158||||TOTAL QU|800-580-3101|V|2020-07-30|RHOME||HOUSTON||44000|210
159|$1.89|$500||PATHMARK|901-362-1555|V|2020-07-30|RICHLAND HILLS||HOUSTON||43000|264
160||||WARREN S|800-206-7980|V|2020-07-30|ROYSE CITY||HOUSTON||45000|234
161|$1.61|$1,200||TTS LLC|972-924-9919|VR|2020-07-30|SAN ANTONIO||GALVESTON|||747
162||||TTS LLC|972-924-9919|V|2020-07-30|SAN ANTONIO||HOUSTON|||99
163||||BECKER L|630-529-0700|V|2020-07-30|SAN ANTONIO||CONROE||43500|305
164||||MOUNTAIN|817-552-1910|VR|2020-07-30|SAN ANTONIO||TOMBALL||43500|305
165||||AMINO TR|972-330-2804|V|2020-07-30|SAN ANTONIO||AUSTIN||43500|305
166||||C H ROBI|833-428-5247|V|2020-07-30|SAN ANTONIO||ORANGE||43500|305
167||||C H ROBI|833-428-5247|V|2020-07-30|SAN ANTONIO||ORANGE||43500|305
168||||C H ROBI|833-428-5247|V|2020-07-30|SAN ANTONIO||ORANGE||43500|305
169||||C H ROBI|833-428-5247|V|2020-07-30|SAN ANTONIO||ORANGE||43500|305
170|$2.00|$700||C H ROBI|833-428-5247|V|2020-07-30|SAN ANTONIO||ORANGE|||350
171||||C H ROBI|833-428-5247|V|2020-07-30|SAN ANTONIO||ORANGE||45200|222
172|$1.89|$500||C H ROBI|833-428-5247|V|2020-07-30|SAN ANTONIO||ORANGE||43000|264
173||||C H ROBI|833-428-5247|V|2020-07-30|SAN ANTONIO||ORANGE||2769|240
174|$2.43|$850||C H ROBI|833-428-5247|VR|2020-07-30|SAN ANTONIO||LA PORTE|||350
175||||TOTAL QU|800-580-3101|VR|2020-07-30|SHERMAN||REKLAW||45000|347
176||||TOTAL QU|800-580-3101|VR|2020-07-30|SHERMAN||REKLAW||44000|347
177||||LANDSTAR|346-330-2444|V|2020-07-30|SUNNYVALE||SEALY|||342
178|$11.36|$250||ELITE TR|878-999-2874|V|2020-07-30|TEMPLE||HOUSTON||43700|22
179|$1.26|$450||EPES LOG|855-600-8664|V|2020-07-30|TYLER||SAN ANTONIO||45000|356
180||||EPES LOG|855-600-8664|V|2020-07-30|TYLER||SAN ANTONIO||43000|350
181||||AMINO TR|972-982-7330|V|2020-07-30|WACO||HOUSTON||43000|187
182||||D I F IN|972-570-4848|V|2020-07-30|WAXAHACHIE||HOUSTON||43000|302
183||||XPO LOGI|855-744-7976|V|2020-07-30|BORGER||HUTCHINS||42848|387
184||||XPO LOGI|855-744-7976|V|2020-07-30|BORGER||HUTCHINS||42848|387
185||||DSV ROAD|307-684-2151|VR|2020-07-30|AMARILLO||FORT WORTH||44000|340
186||||PLS LOGI|469-513-4852|FV|2020-07-30|AMARILLO||FORT WORTH|||340
187|$1.76|$600||KING OF|316-530-5111|V|2020-07-30|AMARILLO||FORT WORTH||45000|340
188||||PLS LOGI|469-513-4852|FSDV|2020-07-30|AMARILLO||FORT WORTH|||340
189||||TOTAL QU|800-580-3101|VR|2020-07-30|AMARILLO||CARROLLTON||40000|349
190||||LANDSTAR|210-318-4560|V|2020-07-30|MIDLAND||HOCKLEY||44000|480
191||||LANDSTAR|210-318-4560|V|2020-07-30|MIDLAND||HOCKLEY||44000|480
192||||PLS LOGI|724-814-5056|V|2020-07-30|ORLA||HOUSTON|||598
193|$2.01|$1,200||KING OF|316-530-8363|V|2020-07-30|ORLA||HOUSTON||40000|598
194||||AMINO TR|817-440-2455|VR|2020-07-30|VAN HORN||IRVING|||509
195||||MANDUJAN|432-940-9968|VR|2020-07-30|COYANOSA||SAN ANTONIO|||342
196||||WJW ASSO|469-481-2802|V|2020-07-30|ARLINGTON||LEWISVILLE|||26
197||||SCHNEIDE|800-558-3957|V|2020-07-30|AUSTIN||TEMPLE||25000|72
198||||LUMPY LO|214-478-8202|FVR|2020-07-30|AUSTIN||CORPUS CHRISTI||43000|216
199||||PLS LOGI|215-309-7518|V|2020-07-30|AUSTIN||DALLAS|||196
200||||PLS LOGI|215-309-7516|V|2020-07-30|AUSTIN||DALLAS||40000|196
201||||C H ROBI|833-428-5247|VR|2020-07-30|BAYTOWN||AUSTIN||45200|187
202||||BNSF LOG|866-622-9910|VR|2020-07-30|BAYTOWN||FORT WORTH||43200|283
203||||DRT TRAN|281-341-9500|V|2020-07-30|BRENHAM||IRVING||36000|215
204||||RFX INC|417-858-8588|V|2020-07-30|BRYAN||HOUSTON||44000|99
205||||PLS LOGI|724-814-5860|V|2020-07-30|BUFFALO||CUERO|||208
206||||PLS LOGI|724-814-5873|V|2020-07-30|BUFFALO||CUERO|||208
207||||A1 VALUE|678-487-5508|V|2020-07-30|CLEBURNE||CORPUS CHRISTI||43296|390
208||||DRT TRAN|281-341-9500|V|2020-07-30|CONROE||GREENVILLE||44000|245
209||||XPO LOGI|800-397-7305|V|2020-07-30|CORPUS CHRISTI||FORNEY||44000|435
210||||SUPPLY C|512-442-9959|V|2020-07-30|CORPUS CHRISTI||HUTCHINS|||408
211|$2.75|$605||ONLINE L|800-476-7977|VF|2020-07-30|CORSICANA||HOUSTON||46000|189
212|$1.92|$470||C H ROBI|833-428-5247|V|2020-07-30|CORSICANA||GRAND PRAIRIE||22752|77
213|$2.93|$645||LANDSTAR|830-253-5995|V|2020-07-30|CROCKETT||BROWNWOOD||43000|250
214|$2.03|$510||FIRST RA|229-496-1418|V|2020-07-30|CROCKETT||JEFFERSON||45000|146
215|$1.95|$500||XPO LOGI|855-744-7976|V|2020-07-30|DALLAS||MOUNT VERNON||41610|104
216|$8.00|$400||DJM LOGI|847-306-3557|V|2020-07-30|DALLAS||SANGER||39900|50
217|$2.47|$720||AMERICAN|903-527-0420|V|2020-07-30|DALLAS||HEATH||44900|25
218|$2.47|$720||AMERICAN|903-527-0420|V|2020-07-30|DALLAS||LONGVIEW||45200|129
219|$1.92|$460||TTS LLC|469-737-3971|V|2020-07-30|DALLAS||FARMERS BRANCH||45000|13
220|$2.79|$600||NT LOGIS|469-362-5050|V|2020-07-30|DALLAS||PASADENA|||253
221||||J B HUNT|855-533-2411|V|2020-07-30|DALLAS||LONGVIEW||40000|129
222||||C H ROBI|833-428-5247|V|2020-07-30|DALLAS||LUFKIN||44177|169
223||||TOTAL QU|800-580-3101|VR|2020-07-30|DALLAS||NACOGDOCHES||20000|182
224||||TOTAL QU|800-580-3101|VR|2020-07-30|DALLAS||HOUSTON||30000|240
225||||REDWOOD|312-698-8300|V|2020-07-30|DALLAS||SAN ANTONIO|||275
226||||FLS TRAN|877-823-0036|VR|2020-07-30|DALLAS||TYLER|||99
227||||PALADIN|469-476-5611|V|2020-07-30|FORT WORTH||HOUSTON||45000|261
228||||CHARIOT|615-206-7080|V|2020-07-30|FORT WORTH||SHERMAN||42043|93
229||||LANDSTAR|210-998-6321|V|2020-07-30|FORT WORTH||GRAND SALINE||30000|101
230||||CHARIOT|615-206-7080|V|2020-07-30|FORT WORTH||SHERMAN||43471|93
231||||CHARIOT|615-206-7080|V|2020-07-30|FORT WORTH||WACO||44411|86
232||||CHARIOT|615-206-7080|V|2020-07-30|FORT WORTH||WACO||43558|86
233||||PATHMARK|901-362-1555|VR|2020-07-30|FORT WORTH||LUFKIN||33139|201
234|$5.09|$850||SUREWAY|844-832-4291|V|2020-07-30|FORT WORTH||WYLIE||30000|63
235||||SCHNEIDE|800-558-3957|V|2020-07-30|FORT WORTH||WILMER||32380|51
236||||AMINO TR|817-440-2445|VR|2020-07-30|FRANKSTON||WACO||42000|118
237||||PURPOSE|972-746-4585|V|2020-07-30|GRAND PRAIRIE||TEMPLE||42000|138
238||||EDGE LOG|312-319-4766|VR|2020-07-30|HOUSTON||HOUSTON||45007|0
239|$11.36|$250||TOTAL QU|800-580-3101|VR|2020-07-30|HOUSTON||HOUSTON||42|0
240|$2.54|$500||HUB HIGH|844-887-4582|V|2020-07-30|HOUSTON||STEPHENVILLE||39568|272
241||||HUB HIGH|844-887-4582|V|2020-07-30|HOUSTON||STEPHENVILLE||39568|272
242||||ULTRA LO|888-220-4640|V|2020-07-30|HOUSTON||SAN ANTONIO||24375|197
243||||CHOPTANK|800-568-2240|V|2020-07-30|HOUSTON||TYLER||40000|220
244||||CHOPTANK|800-568-2240|V|2020-07-30|HOUSTON||TYLER||40000|220
245||||DRT TRAN|281-341-9500|V|2020-07-30|HOUSTON||GRAND PRAIRIE||40000|251
246||||DRT TRAN|281-341-9500|V|2020-07-30|HOUSTON||BROWNWOOD||44000|292
247||||DRT TRAN|281-341-9500|V|2020-07-30|HOUSTON||BROWNWOOD||44000|292
248|$2.31|$600||DRT TRAN|281-341-9500|V|2020-07-30|HOUSTON||DALLAS||43000|240
249||||AMERICAN|903-527-0420|V|2020-07-30|HOUSTON||SANGER||43044|289
250||||RED RIVE|817-697-4310|VR|2020-07-30|HOUSTON||SPRING||43700|22
251||||STAT ALL|754-779-8211|V|2020-07-30|HOUSTON||SAN ANTONIO||44000|197
252|$3.74|$550||SEAL TRA|847-884-4900|VR|2020-07-30|HOUSTON||LANCASTER||19690|234
253||||NT LOGIS|469-362-5050|VR|2020-07-30|HOUSTON||HUNTSVILLE|||70
254|$1.82|$500||TRAILER|888-660-0365|V|2020-07-30|HOUSTON||TEMPLE|||168
255||||PURPOSE|972-746-4585|VB|2020-07-30|HOUSTON||SAN ANTONIO||25000|197
256|$3.21|$700||WATCO SU|479-717-6600|V|2020-07-30|HOUSTON||DAYTON||45000|37
257||||ALLEN LU|800-254-5863|V|2020-07-30|HOUSTON||FT WORTH||41129|260
258|$4.82|$950||SCHNEIDE|800-558-3957|RV|2020-07-30|HOUSTON||LANCASTER||42000|230
259||||AMERICAN|903-527-0420|V|2020-07-30|HOUSTON||SANGER|||289
260|$1.96|$550||RYAN TRA|888-492-3628|VR|2020-07-30|HOUSTON||TEXARKANA||44112|291
261||||ALLEN LU|800-254-5863|V|2020-07-30|HOUSTON||NACOGDOCHES||44530|140
262|$4.80|$475||SCOTLYNN|239-210-3000|VR|2020-07-30|HOUSTON||CONROE|||39
263|$3.39|$400||SCOTLYNN|239-210-3000|VR|2020-07-30|HOUSTON||HOUSTON|||0
264||||SCOTLYNN|239-210-3000|VR|2020-07-30|HOUSTON||HUMBLE|||19
265||||RYAN TRA|888-492-3628|VR|2020-07-30|HOUSTON||WACO||44020|185
266|$2.43|$600||NT LOGIS|469-362-5050|VR|2020-07-30|HOUSTON||DALLAS|||240
267|$4.43|$350||NT LOGIS|469-362-5050|VR|2020-07-30|HOUSTON||HAWKINS|||230
268||||HUB HIGH|412-787-6210|V|2020-07-30|HOUSTON||STEPHENVILLE||1000|272
269|$1.42|$425||HUB HIGH|412-787-6210|V|2020-07-30|HOUSTON||STEPHENVILLE||1000|272
270||||BNSF LOG|844-797-8188|VR|2020-07-30|HOUSTON||DENTON|||278
271||||DAISYS C|928-727-9885|V|2020-07-30|HOUSTON||DALLAS||44000|240
272||||RYAN TRA|888-492-3628|VR|2020-07-30|HOUSTON||TEXARKANA||43875|291
273||||COACH LO|501-565-4819|VR|2020-07-30|HOUSTON||TEXARKANA|||291
274||||COACH LO|501-565-4819|VR|2020-07-30|HOUSTON||TEXARKANA||8000|291
275||||SCOTT LO|706-314-0500|V|2020-07-30|HOUSTON||GRAND PRAIRIE||18000|251
276||||CARGO SO|732-200-2550|V|2020-07-30|HOUSTON||DALLAS||44000|240
277||||LEGACY L|801-296-7420|V|2020-07-30|HOUSTON||MIDLOTHIAN||35000|231
278||||UNITED F|281-441-1238|V|2020-07-30|HUMBLE||FREDERICKSBURG||13500|281
279||||7C LOGIS|469-242-1777|VR|2020-07-30|HUNTSVILLE||SAN ANTONIO|||260
280||||XPO LOGI|855-744-7976|V|2020-07-30|HUTCHINS||MC GREGOR||33094|111
281||||SUNSET T|855-306-0335|VR|2020-07-30|HUTCHINS||TEMPLE||20618|125
282||||C H ROBI|833-428-5247|V|2020-07-30|HUTCHINS||HOUSTON||17304|227
283||||XPO LOGI|800-397-7305|V|2020-07-30|LA PORTE||SUNNYVALE||45000|270
284|$2.03|$750||ROAR LOG|716-775-6208|VR|2020-07-30|LANCASTER||FORT WORTH||44000|39
285||||DRAKE TR|501-422-0810|V|2020-07-30|LOLITA||ROCKWALL|||370
286|$1.88|$450||TRI-STAT|843-407-7919|FSDV|2020-07-30|MALAKOFF||HOUSTON|||210
287||||RAPID TR|615-867-9902|VF|2020-07-30|MILLSAP||BEAUMONT||44000|347
288||||BNSF LOG|844-797-8188|V|2020-07-30|MISSOURI CITY||DALLAS|||257
289||||BNSF LOG|844-797-8188|V|2020-07-30|MISSOURI CITY||DALLAS|||257
