[[ob_order_id]],shipment_id,origin_ib,destination_ib,pick_up_date_time_ib,delivery_date_time_ib,origin_ob,destination_ob,origin_ob_geo,destination_ob_geo,pick_up_date_time_ob,delivery_date_time_ob,client_name,freight_rate,benefit,state,radius,equipment_type,status,cdty_cd,srvc_cd,carr,pull_tm,schd_drop,contact,weight,email,quantity,cube,total_time,incremental_time,incremental_distance,expense
,25637994,"HOUSTON, TX","LAPORTE, TX",30.07.2020 09:00:01,30.07.2020 09:25:25,"PASADENA, TX","HOUSTON, TX",29.656919;-95.138827,29.74475;-95.362966,30.07.2020 11:09:52,30.07.2020 11:31:25,EPES LOG,$441,377,TX,75,VAN (V),ALL,DRYDRAUGHT,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:25:25,800-659-1117,38354,non,non,non,03:45:39,145,14,64
,25676004,"HOUSTON, TX","DALLAS, TX",30.07.2020 09:00:01,30.07.2020 13:32:27,"MESQUITE, TX","CONROE, TX",32.759609;-96.591751,30.31493;-95.471634,30.07.2020 15:28:53,30.07.2020 19:08:23,BECKER L,$630,566,TX,200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:32:27,630-529-0700,45000,non,non,non,11:59:28,145,14,64
,25676007,"HOUSTON, TX","DALLAS, TX",30.07.2020 09:00:01,30.07.2020 13:32:27,"DALLAS, TX","HOUSTON, TX",32.787629;-96.79941,29.74475;-95.362966,30.07.2020 15:10:33,30.07.2020 19:30:57,TOTAL QU,$605,558,TX,200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:32:27,800-580-3101,40000,non,non,non,11:45:11,131,4,47
,25676008,"HOUSTON, TX","BEAUMONT, TX",30.07.2020 09:00:01,30.07.2020 10:16:25,"MALAKOFF, TX","HOUSTON, TX",32.173812;-96.010377,29.74475;-95.362966,30.07.2020 15:28:51,30.07.2020 19:22:47,RAPID TR,$623,57,TX,75-200,VAN (VF),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 10:16:25,615-867-9902,,non,non,non,11:37:01,515,336,566
,25676020,"HOUSTON, TX","TEXAS CITY, TX",30.07.2020 09:00:01,30.07.2020 09:40:55,"PASADENA, TX","HUMBLE, TX",29.656919;-95.138827,29.999389;-95.270574,30.07.2020 11:47:30,30.07.2020 12:23:16,SCOTLYNN,$600,498,TX,75,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:40:55,239-210-3000,46000,non,non,non,04:48:31,177,37,102
,25676022,"HOUSTON, TX","DALLAS, TX",30.07.2020 09:00:01,30.07.2020 13:32:27,"CORSICANA, TX","HOUSTON, TX",32.074336;-96.445079,29.74475;-95.362966,30.07.2020 16:24:20,30.07.2020 19:36:17,ONLINE L,$626,571,TX,200,VAN (VF),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:32:27,800-476-7977,46000,non,non,non,11:50:31,136,8,55
,25676023,"HOUSTON, TX","SAN ANTONIO, TX",30.07.2020 09:00:01,30.07.2020 12:38:05,"SAN ANTONIO, TX","HOUSTON, TX",29.451246;-98.530923,29.74475;-95.362966,30.07.2020 14:16:52,30.07.2020 17:45:54,TTS LLC,$780,730,TX,75-200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 12:38:05,972-924-9919,,non,non,non,10:00:08,134,5,50
,25676026,"HOUSTON, TX","AUSTIN, TX",30.07.2020 09:00:01,30.07.2020 11:54:57,"AUSTIN, TX","TEMPLE, TX",30.334461;-97.691605,31.100124;-97.354661,30.07.2020 13:33:31,30.07.2020 14:47:34,SCHNEIDE,$508,333,TX,75-200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 11:54:57,800-558-3957,15000,non,non,non,10:24:12,244,81,175
,25676037,"HOUSTON, TX","BEAUMONT, TX",30.07.2020 09:00:01,30.07.2020 10:16:25,"MALAKOFF, TX","HOUSTON, TX",32.173812;-96.010377,29.74475;-95.362966,30.07.2020 15:28:51,30.07.2020 19:22:47,TRI-STAT,$623,57,TX,75-200,VAN (FSDV),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 10:16:25,843-407-7919,30000,non,non,non,11:37:01,515,336,566
,25676039,"HOUSTON, TX","CONROE, TX",30.07.2020 09:00:01,30.07.2020 09:54:41,"MALAKOFF, TX","HOUSTON, TX",32.173812;-96.010377,29.74475;-95.362966,30.07.2020 14:34:52,30.07.2020 18:28:48,ONLINE L,$623,92,TX,75-200,VAN (VF),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:54:41,800-476-7977,46000,non,non,non,10:43:02,503,309,531
,25676040,"HOUSTON, TX","CONROE, TX",30.07.2020 09:00:01,30.07.2020 09:54:41,"MALAKOFF, TX","HOUSTON, TX",32.173812;-96.010377,29.74475;-95.362966,30.07.2020 14:34:52,30.07.2020 18:28:48,TRINITY,$623,92,TX,75-200,VAN (VF),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:54:41,806-722-0500,,non,non,non,10:43:02,503,309,531
