_id_|RPM|RATE|Market rate|COMPANY|PHONE|TRLR|PICKUP|ORIGIN CITY|DIST|DESTINATION CITY|DIST|WEIGHT|MILES
24||||RYAN TRA|888-492-8107|VR|Jul-24|CORPUS CHRISTI|0|FORT WORTH|260|44000 |406
25||||ONLINE L|800-476-7977|VF|Jul-24|CORSICANA|0|AUSTIN|158|46000 |177
26|$2.08|$500||MANDUJAN|432-940-9968|VV|DAILY|COYANOSA|0|SAN ANTONIO|195||342
27||||MANDUJAN|432-940-9968|VR|DAILY|COYANOSA|0|SAN ANTONIO|195||342
28|$2.79|$1,200||LANDSTAR|713-357-5262|V|Jul-24|DALLAS|0|HOUSTON|0|40000 |240
29||||REDWOOD|312-698-8300|V|Jul-24|DALLAS|0|DAISETTA|56||265
30||||BNSF LOG|844-797-8188|VR|Jul-24|DALLAS|0|ALEXANDRIA|251||308
31|$1.81|$500||TRAILER|877-789-5636|V|Jul-24|DALLAS|0|AUSTIN|158||197
32|$5.81|$500||RED RIVE|817-697-4310|V|Jul-24|DALLAS|0|HUMBLE|21|22000 |238
33||||RED RIVE|817-697-4310|V|Jul-24|DALLAS|0|SHREVEPORT|232|20000 |189
34||||ONLINE L|800-476-7977|VF|Jul-24|DENTON|0|LAFAYETTE|218|46000 |428
35||||BRIDGER|406-586-0648|V|Jul-24|DONNA|0|TYLER|197|35000 |531
36||||LANDSTAR|210-318-4560|V|Jul-24|EDINBURG|0|AUSTIN|158|43350 |299
37||||LANDSTAR|919-935-0995|V|Jul-24|EDINBURG|0|AUSTIN|158|43000 |299
38||||ARMSTRON|956-997-6208|VR|Jul-24|EDINBURG|0|HOUSTON|0||338
39||||XPO LOGI|855-744-7976|V|Jul-24|EL PASO|0|SEALY|47||699
40|$1.61|$1,200||GILTNER|208-432-1059|V|Jul-24|EL PASO|0|DENTON|278|10000 |639
41||||COYOTE L|773-799-2118|V|Jul-24|EL PASO|0|HOUSTON|0|42000 |747
42||||COYOTE L|773-799-2118|V|Jul-24|EL PASO|0|FORT WORTH|260|17114 |605
43|$2.25|$1,200||COYOTE L|773-799-2118|V|Jul-24|EL PASO|0|DALLAS|241|40000 |637
44||||XPO LOGI|312-854-1281|V|Jul-24|EL PASO|0|FORT WORTH|260|17991 |605
45|$2.42|$400||FIFTH WH|616-965-7277|V|Jul-24|EL PASO|0|HOUSTON|0|44000 |747
46||||AMERICAN|716-337-5000|V|Jul-24|EL PASO|0|HOUSTON|0|42000 |747
47||||LANDSTAR|830-253-5771|V|Jul-24|EL PASO|0|LEWISVILLE|261|35000 |638
48||||LANDSTAR|904-417-7888|V|Jul-24|EL PASO|0|FORT WORTH|260|30000 |605
49||||LANDSTAR|904-417-7888|V|Jul-24|EL PASO|0|FORT WORTH|260|30000 |605
50||||AMERICAN|716-337-5000|V|Jul-24|EL PASO|0|HOUSTON|0|42000 |747
51||||C H ROBI|833-428-5247|V|Jul-24|EL PASO|0|SAN ANTONIO|195|16681 |552
52||||SCHNEIDE|800-558-3957|V|Jul-24|EL PASO|0|HOUSTON|18|42223 |754
53||||CHARIOT|615-206-7080|V|Jul-24|EL PASO|0|SAN ANTONIO|195|19085 |552
54||||C H ROBI|833-428-5247|V|Jul-24|EL PASO|0|AUSTIN|158|44112 |577
55||||AOK FREI|816-301-6226|V|Jul-24|EL PASO|0|WILMER|226|20000 |648
56||||R & M CO|915-781-0488|V|Jul-24|EL PASO|0|HOUSTON|0||747
57||||INSTICO|469-293-9549|V|Jul-24|EL PASO|0|HOUSTON|0|44000 |747
58||||PLS LOGI|904-435-9796|V|Jul-24|EL PASO|0|WHITEWRIGHT|294||690
59||||PLS LOGI|904-435-9796|V|Jul-24|EL PASO|0|WHITEWRIGHT|294||690
60||||C H ROBI|833-428-5247|V|Jul-24|EL PASO|0|CARROLLTON|256|20000 |639
61||||C H ROBI|833-428-5247|V|Jul-24|EL PASO|0|WHITEWRIGHT|294|15000 |690
62||||ROANE LO|865-354-3288|V|Jul-24|EL PASO|0|CARROLLTON|256|28664 |639
63||||ROANE LO|865-354-3288|V|Jul-24|EL PASO|0|CARROLLTON|256|28664 |639
64||||TRINITY|806-722-0500|V|Jul-24|FAIRFIELD|0|LLANO|231|10000 |203
65||||RFX INC|219-956-0540|V|Jul-24|FAIRFIELD|0|LLANO|231|10000 |203
66||||TRINITY|817-776-8340|V|Jul-24|FARMERS BRANCH|0|HOUSTON|0|35000 |252
67||||HUB HIGH|412-787-6210|V|Jul-24|FLOWER MOUND|0|HOUSTON|0|1000 |268
68||||HUB HIGH|412-787-6210|V|Jul-24|FLOWER MOUND|0|HOUSTON|0|1000 |268
69||||BNSF LOG|888-285-4514|V|Jul-24|FLOWER MOUND|0|DESOTO|230|41402 |45
70||||BNSF LOG|888-285-4514|V|Jul-24|FLOWER MOUND|0|DESOTO|230|41418 |45
71||||USA TRUC|972-677-6171|V|Jul-24|FORNEY|0|WAXAHACHIE|217|44000 |50
72||||USA TRUC|972-677-6171|V|Jul-24|FORNEY|0|WAXAHACHIE|217|44000 |50
73||||USA TRUC|972-677-6171|V|Jul-24|FORNEY|0|WAXAHACHIE|217|44000 |50
74||||XPO LOGI|855-744-7976|V|Jul-24|FORT WORTH|0|VICTORIA|125|45000.0 |285
75||||COYOTE L|773-799-2118|VR|Jul-24|FORT WORTH|0|BATON ROUGE|277|43500 |451
76||||COYOTE L|773-799-2118|VR|Jul-24|FORT WORTH|0|WACO|181|45000 |86
77||||COYOTE L|773-799-2118|VR|Jul-24|FORT WORTH|0|BEAUMONT|86|43500 |304
78||||LANDSTAR|346-800-1808|V|Jul-24|FORT WORTH|0|BAYTOWN|29|39769 |284
79||||ROAR LOG|716-775-6209|VR|Jul-24|FORT WORTH|0|BATON ROUGE|277|42756 |451
80||||GILTNER|208-432-1059|V|Jul-24|FT HANCOCK|0|DALLAS|241|10000 |585
81||||AMERICAN|817-249-2990|V|Jul-24|FT WORTH|0|MANVEL|22|16000 |285
82||||ONLINE L|800-476-7977|VF|Jul-24|FT WORTH|0|LAFAYETTE|218|46000 |426
83||||REDWOOD|312-698-8300|V|Jul-24|FT WORTH|0|HOUSTON|0||261
84||||XPO LOGI|800-235-4192|V|Jul-24|GRAND PRAIRIE|0|TYLER|204|4545.0 |110
85||||XPO LOGI|800-235-4192|V|Jul-24|GRAND PRAIRIE|0|TYLER|197|4545 |110
86||||COYOTE L|773-799-2118|VR|Jul-24|GRAND PRAIRIE|0|LAFAYETTE|218|43175 |404
87||||XPO LOGI|800-235-4192|V|Jul-24|GRAND PRAIRIE|0|TYLER|197|4545 |110
88||||COYOTE L|773-799-2118|V|Jul-24|GRAND PRAIRIE|0|MISSOURI CITY|20|15065 |268
89||||LANDSTAR|919-296-3596|V|Jul-24|GRAND PRAIRIE|0|TEMPLE|164|37000 |138
90||||PLS LOGI|980-242-4450|V|Jul-24|GRAND PRAIRIE|0|MINERAL WELLS|297||68
91||||CARDINAL|716-832-6700|V|Jul-24|GRAND PRAIRIE|0|TERRELL|242||45
92||||ARNOLD T|469-329-5700|VR|Jul-24|GRAND PRAIRIE|0|NEW BRAUNFELS|176||253
93||||SCHNEIDE|800-558-3957|V|Jul-24|GRAND PRAIRIE|0|BOSSIER CITY|237|21500 |200
94||||COYOTE L|773-799-2118|V|Jul-24|HARLINGEN|0|SAN MARCOS|175|10600 |293
95||||COYOTE L|773-799-2118|V|Jul-24|HARLINGEN|0|ROANOKE|270|5148 |533
96||||COYOTE L|773-799-2118|V|Jul-24|HARLINGEN|0|ROANOKE|270|7954 |533
97||||EVEREST|312-423-1895|V|Jul-24|HARLINGEN|0|HOUSTON|0||331
98||||XPO LOGI|678-971-0856|V|Jul-24|HOUSTON|0|FORT WORTH|260|43848 |260
99||||EDGE LOG|312-319-4766|VR|Jul-24|HOUSTON|0|HOUSTON|0|45007 |0
100||||LANDSTAR|479-435-7315|V|Jul-24|HOUSTON|0|BEN WHEELER|205|43500 |237
101||||LANDSTAR|479-435-7315|V|Jul-24|HOUSTON|0|TYLER|197|43500 |220
102||||TRINITY|800-315-1407|V|Jul-24|HOUSTON|0|SHREVEPORT|232|42832 |242
103||||TRINITY|208-934-9303|V|Jul-24|HOUSTON|0|BROUSSARD|225|8500 |225
104||||EDGE LOG|312-319-4766|VR|Jul-24|HOUSTON|0|HOUSTON|0|44793 |0
105||||KTI INC|612-256-2991|V|Jul-24|HOUSTON|0|DALLAS|241||240
106||||FITZMARK|205-405-9948 X|VA|Jul-24|HOUSTON|0|SAN MARCOS|175|20000 |165
107||||AMERICAN|903-527-0420|VR|Jul-24|HOUSTON|0|HOUSTON|0||0
108||||POLARIS|832-699-3297|V|Jul-24|HOUSTON|0|SHREVEPORT|232|43000 |242
109||||CHOPTANK|800-568-2240|V|Jul-24|HOUSTON|0|OPELOUSAS|220|6500 |222
110||||C H ROBI|833-428-5247|V|Jul-24|HOUSTON|0|FORNEY|239|45000 |254
111||||BARTON L|830-522-3161|V|Jul-24|HOUSTON|0|HOUSTON|0||0
112||||AMERICAN|903-527-0420|VR|Jul-24|HOUSTON|0|LONGVIEW|208||210
113|$29.41|$500||C H ROBI|833-428-5247|V|Jul-24|HOUSTON|0|SHREVEPORT|232|43500 |242
114|$2.74|$600||C H ROBI|833-428-5247|V|Jul-24|HOUSTON|0|SHREVEPORT|232|43500 |242
115|$2.70|$600||SUREWAY|501-438-4300|V|Jul-24|HOUSTON|0|SHREVEPORT|232|42000 |242
116|$2.81|$550||ADDISON|800-345-4119|V|Jul-24|HOUSTON|0|SHREVEPORT|232||242
117|$3.14|$1,100||DONNELLY|856-310-9936|V|Jul-24|HOUSTON|0|DENHAM SPRINGS|285||285
118||||AMINO TR|972-982-7330|V|Jul-24|HOUSTON|0|WACO|181||185
119|$2.59|$1,000||TOTAL QU|800-580-3101|VR|Jul-24|HOUSTON|0|TEXARKANA|290|43000 |302
120|$2.74|$600||FITZMARK|317-475-0960|V|DAILY|HOUSTON|0|SAN MARCOS|175||165
121||||STRONGHO|888-963-9299|V|DAILY|HOUSTON|0|ROCKWALL|256|42000 |260
122|$2.79|$1,200||C H ROBI|833-428-5247|V|Jul-24|HUTCHINS|0|LAFAYETTE|218|45000 |388
123||||COYOTE L|773-799-2118|VR|Jul-24|LA PORTE|0|BATON ROUGE|277|44000 |257
124|$2.12|$600||C H ROBI|833-428-5247|VR|Jul-24|LA PORTE|0|ARLINGTON|251|16622 |280
125||||REDWOOD|312-698-8300|V|Jul-24|LANCASTER|0|HOUSTON|0||234
126||||REDWOOD|312-870-5030|VR|Jul-24|LANCASTER|0|DAYTON|40|44415 |264
127||||COYOTE L|773-799-2118|V|Jul-24|LAREDO|0|FARMERSVILLE|276|40000 |478
128||||COYOTE L|773-799-2118|V|Jul-24|LAREDO|0|HOUSTON|0|43208 |350
129||||COYOTE L|773-799-2118|V|Jul-24|LAREDO|0|DALLAS|241|42003 |430
130||||COYOTE L|773-799-2118|VR|Jul-24|LAREDO|0|DALLAS|241|45314 |430
131||||COYOTE L|773-799-2118|VR|Jul-24|LAREDO|0|WEATHERFORD|278|43222 |445
132|$2.17|$425||LANDSTAR|412-264-1954|V|Jul-24|LAREDO|0|PLANO|255|6000 |447
133||||LANDSTAR|346-330-2444|V|Jul-24|LAREDO|0|HOUSTON|0|26500 |350
134||||LANDSTAR|347-354-4647|V|Jul-24|LAREDO|0|HOUSTON|0|15000 |350
135||||LANDSTAR|956-269-9691|V|Jul-24|LAREDO|0|EUNICE|200|17920 |551
136|$4.01|$750||LANDSTAR|956-324-9807|V|Jul-24|LAREDO|0|BAYTOWN|29|40285 |374
137|$2.14|$600||LANDSTAR|972-885-2682|V|Jul-24|LAREDO|0|HOUSTON|0|30000 |350
138||||LANDSTAR|815-312-2305|V|Jul-24|LAREDO|0|YOAKUM|119|42500 |209
139||||LANDSTAR|956-606-4451|V|Jul-24|LAREDO|0|LEWISVILLE|261|20340 |451
140||||LANDSTAR|956-606-4451|V|Jul-24|LAREDO|0|EUNICE|200|17920 |551
141||||LANDSTAR|479-965-2710|V|Jul-24|LAREDO|0|DE SOTO|230|12991 |416
142||||LANDSTAR|956-269-9554|V|Jul-24|LAREDO|0|EUNICE|200|17920 |551
143||||LANDSTAR|956-269-9698|V|Jul-24|LAREDO|0|FORT WORTH|260|30000 |421
144||||LANDSTAR|870-673-0265|V|Jul-24|LAREDO|0|MESQUITE|238|40535 |437
145|$5.98|$341||LANDSTAR|956-744-5696|V|Jul-24|LAREDO|0|TYLER|197|44500 |468
146||||LANDSTAR|956-744-5696|V|Jul-24|LAREDO|0|MESQUITE|238|44500 |437
147||||LANDSTAR|210-572-4371|V|Jul-24|LAREDO|0|WEATHERFORD|278|44000 |445
148||||LANDSTAR|210-572-4371|V|Jul-24|LAREDO|0|SEALY|47|42000 |302
149||||ONLINE F|651-468-6868|V|Jul-24|LAREDO|0|COPPELL|259|13000 |449
150||||GLOBALTR|888-954-7231|VR|Jul-24|LAREDO|0|HOUSTON|0|44000 |350
151|$3.03|$500||J H ROSE|956-217-5264|VR|Jul-24|LAREDO|0|DAYTON|40|32200 |386
152||||SALBO LO|832-847-1259|V|Jul-24|LAREDO|0|HOUSTON|0||350
153||||LANDSTAR|210-272-9850|V|Jul-24|LAREDO|0|DALLAS|241|42000 |430
154|$1.55|$400||TRIMAC T|956-726-4800|VR|Jul-24|LAREDO|0|AUSTIN|158|43000 |234
155||||REDWOOD|312-698-8300|VR|Jul-24|LAREDO|0|DALLAS|241||430
156|$2.90|$1,250||RED CLAS|469-786-2527|VR|Jul-24|LAREDO|0|NEW BRAUNFELS|176||187
157|$3.62|$1,500||ALL-CARG|954-753-0600|V|Jul-24|LAREDO|0|FT WORTH|260|4000 |421
158|$2.55|$500||ULTIMATE|972-222-5300|V|Jul-24|LAREDO|0|HOUSTON|0||350
159||||CHARGER|313-800-7398 E|V|Jul-24|LAREDO|0|WILMER|226|36000 |431
160||||J H ROSE|956-217-5264|VR|Jul-24|LAREDO|0|PALESTINE|150||414
161||||EPES LOG|844-208-0670|V|Jul-24|LAREDO|0|HOUSTON|0|42718 |350
162|$2.34|$475||RED CLAS|469-786-2605|V|Jul-24|LAREDO|0|DAYTON|40|44000 |386
163||||SUN CITY|915-593-5900|V|Jul-24|LAREDO|0|DALLAS|241||430
164|$4.00|$1,400||FULL SAI|440-462-2519 X|V|Jul-24|LAREDO|0|HOUSTON|0|43000 |350
165|$2.98|$1,150||DUPRE LO|844-452-8976|V|Jul-24|LAREDO|0|HOUSTON|0||350
166|$3.74|$1,300||US LOGIS|817-281-1915|VR|Jul-24|LAREDO|0|DALLAS|241||430
167|$3.74|$1,300||US LOGIS|817-281-1915|VR|Jul-24|LAREDO|0|HOUSTON|0||350
168|$2.79|$1,500||AAFG LLC|5126650995|VR|Jul-24|LAREDO|0|DALLAS|241|45000 |430
169|$1.70|$1,100||REDWOOD|737-238-4634|VR|Jul-24|LAREDO|0|DALLAS|241||430
170||||H C SCHM|833-323-1841|V|Jul-24|LAREDO|0|DENTON|278|9952 |459
171||||C H ROBI|833-428-5247|VR|Jul-24|LAREDO|0|HOUSTON|0|42500 |350
172||||RYAN TRA|888-492-3628|VR|Jul-24|LAREDO|0|LAKE CHARLES|147|41690 |493
173||||REDWOOD|312-698-8300|V|Jul-24|LAREDO|0|DALLAS|241||430
174||||REDWOOD|312-698-8300|V|Jul-24|LAREDO|0|DALLAS|241||430
175||||REDWOOD|312-698-8300|V|Jul-24|LAREDO|0|DALLAS|241||430
176|$2.37|$650||REDWOOD|312-698-8300|V|Jul-24|LAREDO|0|DALLAS|241||430
177|$2.74|$750||SUNTECK|210-764-2222|V|Jul-24|LAREDO|0|GRAND PRAIRIE|247||439
178|$3.10|$750||GLOBALTR|888-954-7231|VR|Jul-24|LAREDO|0|DAYTON|40|44000 |386
179||||ULTIMATE|972-222-5300|VR|Jul-24|LAREDO|0|HOUSTON|0||350
180||||C H ROBI|833-428-5247|V|Jul-24|LAREDO|0|TYLER|197|16400 |468
181|$3.60|$800||INFINITE|956-267-7569|V|DAILY|LAREDO|0|HOUSTON|0|43000 |350
182|$1.47|$1,100||INFINITE|956-267-7569|V|DAILY|LAREDO|0|NEW BRAUNFELS|176|43000 |187
183||||INFINITE|956-267-7569|V|DAILY|LAREDO|0|SEALY|47|43000 |302
184|$2.56|$600||XPO LOGI|855-744-7976|V|Jul-24|LEWISVILLE|0|MESQUITE|238||36
185||||XPO LOGI|855-744-7976|V|Jul-24|LEWISVILLE|0|MESQUITE|238||36
186||||DSV ROAD|307-684-2151|V|Jul-24|LUFKIN|0|FAIRFIELD|151|44000 |99
187||||SHEERTRA|866-200-5884|V|Jul-24|MARBLE FALLS|0|HOUSTON|0|43469 |212
188||||COYOTE L|773-799-2118|V|Jul-24|MC QUEENEY|0|SAN ANTONIO|195|9408 |34
189||||COYOTE L|773-799-2118|V|Jul-24|MC QUEENEY|0|HOUSTON|0|8837 |165
190||||DART ADV|800-880-5873|V|Jul-24|MCALLEN|0|MT VERNON|262|13191 |605
191|$2.59|$750||ARNOLD T|469-329-5700|VR|Jul-24|MCALLEN|0|AUSTIN|158||309
192||||ARNOLD T|469-329-5661|VR|Jul-24|MCALLEN|0|AUSTIN|158||309
193||||LANDSTAR|972-362-1117|V|Jul-24|MCKINNEY|0|NEW IBERIA|238|44000 |438
194||||BROWN TR|903-482-9456|V|Jul-24|MCKINNEY|0|GARLAND|248||26
195||||BECKER L|630-529-0700|V|Jul-24|MESQUITE|0|FORT WORTH|260|45000 |46
196||||BECKER L|630-529-0700|V|Jul-24|MESQUITE|0|HOUSTON|0|45000 |241
197||||BECKER L|630-529-0700|V|Jul-24|MESQUITE|0|HOUSTON|0|45000 |241
198||||BECKER L|630-529-0700|V|Jul-24|MESQUITE|0|HOUSTON|0|45000 |241
199||||BECKER L|630-529-0700|V|Jul-24|MESQUITE|0|CONROE|39|45000 |203
200||||TRINITY|806-722-0500|VF|Jul-24|MILLSAP|0|LONGVIEW|208|45000 |205
201||||TRI-STAT|843-407-7919|FSDV|Jul-24|MILLSAP|0|MCQUEENEY|163||247
202|$2.33|$1,000||ONLINE L|800-476-7977|VF|Jul-24|MILLSAP|0|AUSTIN|158|46000 |194
203|$3.14|$1,100||ELITE TR|878-999-2874|V|Jul-24|MISSOURI CITY|0|HOUSTON|0|43084 |17
204||||BNSF LOG|844-797-8188|VR|Jul-24|MISSOURI CITY|0|HOUSTON|0||17
205||||C H ROBI|833-428-5247|V|Jul-24|MUENSTER|0|NEW ROADS|268|44000 |468
206||||TOTAL QU|800-580-3101|VR|Jul-24|NEW BOSTON|0|HICO|251|45000 |256
207||||XPO LOGI|800-397-7305|V|Jul-24|NEW BRAUNFELS|0|FORNEY|239|44000 |264
208||||COYOTE L|773-799-2118|V|Jul-24|OVERTON|0|AUSTIN|158|43450 |240
209||||RT & T L|815-261-1217|V|Jul-24|PASADENA|0|EAST BERNARD|46|22165 |57
210||||TOTAL QU|800-580-3101|V|Jul-24|PASADENA|0|SAN ANTONIO|197||211
211||||KTI INC|612-256-2991|V|Jul-24|PEARLAND|0|FORNEY|239||274
212||||C H ROBI|833-428-5247|V|Jul-24|PHARR|0|WACO|181|22858 |408
213||||TITAN WO|469-619-1999|VR|Jul-24|PHARR|0|CONROE|39|3518 |396
214||||TITAN WO|469-619-1999|V|Jul-24|PHARR|0|CONROE|39|3518 |396
215|$2.08|$550||LANDSTAR|409-227-4567|V|Jul-24|PORT LAVACA|0|SCOTTSVILLE|221|44761 |352
216||||LANDSTAR|619-734-9775|V|Jul-24|RIO GRANDE CITY|0|MORGAN CITY|284|42000 |686
217|$4.92|$246||C H ROBI|833-428-5247|V|Jul-24|ROYSE CITY|0|FOREST HILL|215|28000 |316
218|$4.92|$246||XPO LOGI|214-937-0032|V|Jul-24|SAN ANTONIO|0|HOUSTON|0|44000.0 |196
219|$4.92|$246||XPO LOGI|214-937-0032|V|Jul-24|SAN ANTONIO|0|HOUSTON|0|44000 |196
220||||LANDSTAR|551-230-3777|V|Jul-24|SAN ANTONIO|0|HOUSTON|0|42000 |196
221||||J H ROSE|956-217-5263|V|Jul-24|SAN ANTONIO|0|HOUSTON|0||196
222|$1.81|$600||LOGISTIC|972-345-8527|VR|Jul-24|SAN ANTONIO|0|BEAUMONT|86|38000 |283
223||||C H ROBI|833-428-5247|VR|Jul-24|SAN ANTONIO|0|TEMPLE|164|42199 |146
224||||LOGISTIC|716-308-6118|V|Jul-24|SAN ANTONIO|0|HOUSTON|0|43000 |196
225||||BLACKHAW|608-364-9711|V|Jul-24|SAN ANTONIO|0|IRVING|253|30000 |281
226||||EDGE LOG|312-319-4766|VR|Jul-24|SAN ANTONIO|0|SAN ANTONIO|195|45240 |0
227|$2.33|$1,000||XPO LOGI|800-397-7305|V|Jul-24|SAN ANTONIO|0|FORNEY|239|44000 |294
228||||CHARIOT|615-206-7080|V|Jul-24|SAN ANTONIO|0|CORPUS CHRISTI|205|43290 |145
229||||LOGISTIC|716-308-6118|V|Jul-24|SAN ANTONIO|0|HOUSTON|0|43000 |196
230||||C H ROBI|833-428-5247|V|Jul-24|SAN ANTONIO|0|FORNEY|239|45000 |294
231||||C H ROBI|833-428-5247|V|Jul-24|SAN ANTONIO|0|FORNEY|239|45000 |294
232||||RYAN TRA|888-492-3628|VR|Jul-24|SAN ANTONIO|0|TEXARKANA|288|42293 |450
233||||C H ROBI|833-428-5247|V|Jul-24|SAN ANTONIO|0|CAMPTI|257|43500 |424
234|$1.89|$450||C H ROBI|833-428-5247|V|Jul-24|SAN ANTONIO|0|CAMPTI|257|43500 |424
235|$2.65|$500||C H ROBI|833-428-5247|VR|Jul-24|SAN ANTONIO|0|SAN ANTONIO|195|42003 |0
236|$1.78|$451||C H ROBI|833-428-5247|V|Jul-24|SAN ANTONIO|0|FORNEY|239|45000 |294
237||||SUREWAY|501-438-4300|V|Jul-24|SAN ANTONIO|0|SHREVEPORT|232|42000 |395
238||||C H ROBI|833-428-5247|V|Jul-24|SAN ANTONIO|0|CAMPTI|257|43500 |424
239||||C H ROBI|833-428-5247|V|Jul-24|SAN ANTONIO|0|CAMPTI|257|43500 |424
240|$0.76|$300||C H ROBI|833-428-5247|V|Jul-24|SAN ANTONIO|0|CAMPTI|257|43500 |424
241|$0.76|$300||PLS LOGI|469-513-4854|V|Jul-24|SAN SABA|0|EUNICE|200||456
242||||C H ROBI|833-428-5247|V|Jul-24|SCHERTZ|0|TEMPLE|164|19513 |130
243||||SIMS TRA|706-652-0009|V|Jul-24|SEAGRAVES|0|DUBLIN|262||290
244||||TOTAL QU|800-580-3101|VR|Jul-24|SEAGRAVES|0|DUBLIN|262|44000 |290
245||||LANDSTAR|616-712-6707|V|Jul-24|SEALY|0|WAXAHACHIE|217|44500 |219
246||||LANDSTAR|616-712-6707|V|Jul-24|SEALY|0|WAXAHACHIE|217|41600 |219
247||||LANDSTAR|616-712-6707|V|Jul-24|SEALY|0|WAXAHACHIE|217||219
248||||COYOTE L|773-799-2118|V|Jul-24|SEGUIN|0|DENTON|278|42518 |276
249||||PLS LOGI|314-768-9360|V|Jul-24|SHEPPARD AFB|0|SHREVEPORT|237||332
250||||SCHNEIDE|800-558-3957|V|Jul-24|SHERMAN|0|ARLINGTON|251|32983 |85
251||||C H ROBI|833-428-5247|V|Jul-24|SUGAR LAND|0|CAMERON|138|44000 |213
252||||LANDSTAR|919-935-0995|V|Jul-24|TEMPLE|0|ALEXANDRIA|251|44000 |356
253||||REED TRA|813-369-6500|V|Jul-24|TEMPLE|0|NEW CANEY|32|45007 |187
254||||LANDSTAR|830-253-5771|V|Jul-24|TERRELL|0|ALEXANDRIA|251|20000 |275
255||||LANDSTAR|718-701-9018|V|Jul-24|TERRELL|0|ALEXANDRIA|251|20000 |275
256||||LANDSTAR|718-701-9018|V|Jul-24|TERRELL|0|ALEXANDRIA|251|20000 |275
257||||LANDSTAR|718-701-9018|V|Jul-24|TERRELL|0|NATCHITOCHES|245|20000 |224
258||||SUNTECK|316-260-4430|V|Jul-24|TYLER|0|BATON ROUGE|277|43000 |326
259||||EPES LOG|855-600-8664|V|Jul-24|TYLER|0|HOUSTON|0|19142 |220
260||||TANDEM L|512-388-9433|V|Jul-24|VON ORMY|0|MISSOURI CITY|20|35000 |209
261||||FREIGHT|662-432-4300|V|Jul-24|WACO|0|GRAND PRAIRIE|247|35000 |105
262|$2.85|$1,100||PLS LOGI|314-768-9360|V|Jul-24|WALLER|0|SHREVEPORT|237||274
263||||POLARIS|832-699-3297|V|Jul-24|WALLER|0|SHREVEPORT|232|43000 |274
264||||POLARIS|832-699-3297|V|Jul-24|WALLER|0|SHREVEPORT|232|43000 |274
265||||COYOTE L|773-799-2118|V|Jul-24|WAXAHACHIE|0|BATON ROUGE|277|44265 |436
266||||LANDSTAR|346-800-1808|V|Jul-24|WESLACO|0|HOUSTON|0|10000 |348
267||||LANDSTAR|346-800-1808|V|Jul-24|WESLACO|0|DALLAS|241|10000 |537
268||||EPES LOG|844-208-0670|V|Jul-24|WESLACO|0|HOUSTON|0|14267 |348
269||||EPES LOG|844-208-0670|V|Jul-24|WESLACO|0|HOUSTON|0|12843 |348
270|$3.03|$500||EPES LOG|844-208-0670|V|Jul-24|WESLACO|0|DALLAS|241|11643 |537
