_id_|RPM|RATE|Market rate|COMPANY|PHONE|TRLR|PICKUP|ORIGIN CITY|DIST|DESTINATION CITY|DIST|WEIGHT|MILES
96|$11.29|$350.00||R2 LOGIS|423-497-1430|V|44040|EL PASO|0|DALLAS|241|10000|637
97||||LANDSTAR|256-467-2179|V|44040|EL PASO|0|FORT WORTH|260|25000|605
98||||LANDSTAR|904-417-7888|V|44040|EL PASO|0|FORT WORTH|260|30000|605
99|$2.99|$1,000.00||LANDSTAR|904-417-7888|V|44040|EL PASO|0|FORT WORTH|260|30000|605
100|$2.82|$1,250.00||LANDSTAR|904-417-7888|V|44040|EL PASO|0|FORT WORTH|260|30000|605
101||||LANDSTAR|904-417-7888|V|44040|EL PASO|0|FORT WORTH|260|30000|605
102||||LANDSTAR|904-417-7888|V|44040|EL PASO|0|FORT WORTH|260|30000|605
103||||KNIGHT -|800-477-8025|V|44040|EL PASO|0|DESOTO|230|6209|636
104||||SCHNEIDE|800-558-3957|V|44040|EL PASO|0|HOUSTON|18|42223|754
105||||SCHNEIDE|800-558-3957|V|44040|EL PASO|0|HOUSTON|18|42223|754
106||||J B HUNT|855-533-2411|V|44040|ENNIS|0|LONGVIEW|208|40000|147
107||||MANNING'|800-228-2761|V|44040|FAIRFIELD|0|LLANO|231|15000|203
108|$1.14|$400.00||TRINITY|806-722-0500|V|44040|FAIRFIELD|0|LLANO|231|10000|203
109|$1.63|$600.00||RFX INC|219-956-0540|V|44040|FAIRFIELD|0|LLANO|231|10000|203
110||||R & R EX|720-317-6121|V|44040|FORT WORTH|0|TAYLOR|149|10000|159
111||||R & R EX|720-317-6121|V|44040|FORT WORTH|0|TAYLOR|149|10000|159
112||||R & R EX|720-317-6121|V|44040|FORT WORTH|0|TAYLOR|149|10000|159
113||||GLOBALTR|480-339-5874|V|44040|FORT WORTH|0|PASADENA|13|45000|274
114|$2.50|$600.00||GAMPAC E|480-927-4846|V|44040|FORT WORTH|0|KATY|22|42000|282
115|$2.31|$600.00||TOTAL QU|800-580-3101|V|44040|FORT WORTH|0|NACOGDOCHES|142|15000|215
116||||XPO LOGI|855-744-7976|V|44040|FORT WORTH|0|VICTORIA|121|45000|285
117||||BNSF LOG|888-285-4514|V|44040|FORT WORTH|0|DALLAS|241|10080|36
118||||MATADOR|877-662-8236|V|44040|FORT WORTH|0|LOLITA|101|30000|299
119||||CARDINAL|704-789-2047|V|44040|FORT WORTH|0|BAY CITY|73|24000|344
120||||TOTAL QU|800-580-3101|VR|44040|FORT WORTH|0|HOUSTON|0|42000|261
121|$3.13|$250.00||CHOPTANK|800-568-2240|V|44040|FORT WORTH|0|HOUSTON|0||261
122|$3.13|$250.00||RIVERSID|423-531-6856|V|44040|FORT WORTH|0|ARLINGTON|251||19
123|$3.13|$250.00||RIVERSID|423-531-6856|V|44040|FORT WORTH|0|LEWISVILLE|261||37
124|$3.13|$250.00||HUB HIGH|412-787-6210|V|44040|FORT WORTH|0|HOUSTON|0|1000|261
125||||HUB HIGH|412-787-6210|V|44040|FORT WORTH|0|HOUSTON|0|1000|261
126||||ARPCO TR|817-424-5460|VR|44040|FREEPORT|0|DALLAS|241||313
127||||ARPCO TR|817-424-5460|VR|44040|FREEPORT|0|FORT WORTH|260||333
128||||KING OF|316-440-8672|V|44040|FT WORTH|0|SAN ANTONIO|195|10000|265
129|$2.03|$700.00||SINGLE P|281-407-6041|V|44040|GALENA PARK|0|FORT WORTH|260||269
130||||TOTAL QU|800-580-3101|V|44040|GALVESTON|0|SHERMAN|300|39000|351
131|$2.33|$1,000.00||TOTAL QU|800-580-3101|V|44040|GALVESTON|0|SHERMAN|300|39000|351
132||||J B HUNT|855-538-9484|V|44040|GARLAND|0|NEW BRAUNFELS|176|40088|260
133||||LOGISTIC|916-209-8577|V|44040|GARLAND|0|HUNTSVILLE|69|38900|184
134||||BBI LOGI|800-809-2172|VR|44040|GRAND PRAIRIE|0|GRAND PRAIRIE|247|35000|0
135||||XPO LOGI|800-235-4192|V|44040|GRAND PRAIRIE|0|DAYTON|40|6398|281
136||||XPO LOGI|602-388-1589|V|44040|GRAND PRAIRIE|0|SANGER|287|7982|54
137||||COYOTE L|773-799-2118|V|44040|GRAND PRAIRIE|0|HOUSTON|0|42003|251
138||||WESTERN|866-235-9327|V|44040|GRAND PRAIRIE|0|MOUNT VERNON|262|6621|115
139||||TOTAL QU|800-580-3101|V|44040|GRAND PRAIRIE|0|GRAND PRAIRIE|247|7000|0
140||||APEX LOG|801-924-1850|V|44040|GRAND PRAIRIE|0|BUDA|167||225
141||||JAS LOGI|210-451-7709|VR|44040|HALLETTSVILLE|0|CORPUS CHRISTI|205|44000|138
142||||TOTAL QU|800-580-3101|VR|44040|HEREFORD|0|GARLAND|248|42000|415
143||||TOTAL QU|800-580-3101|V|44040|HOLLAND|0|AUSTIN|158||57
144||||TOTAL QU|800-580-3101|V|44040|HOUSTON|0|KILLEEN|185|23000|190
145|$3.28|$1,100.00||SCHNEIDE|800-558-3957|V|44040|HOUSTON|0|TEMPLE|165|42000|168
146||||RYAN TRA|888-492-3628|VR|44040|HOUSTON|0|MABANK|204|41000|217
147||||TOTAL QU|800-580-3101|V|44040|HOUSTON|0|FREEPORT|58|30000|74
148||||CHOPTANK|800-568-2240|V|44040|HOUSTON|0|TYLER|197|40000|220
149||||CHOPTANK|800-568-2240|V|44040|HOUSTON|0|TYLER|197|40000|220
150|$6.94|$250.00||CHOPTANK|800-568-2240|V|44040|HOUSTON|0|TYLER|197|40000|220
151||||LOGISTIC|716-277-0442|VR|44040|HOUSTON|0|WACO|181|44000|185
152||||TOTAL QU|800-580-3101|V|44040|HOUSTON|0|AUSTIN|158|42000|163
153||||TRINITY|877-346-4455|V|44040|HOUSTON|0|ROCKWALL|256|32000|260
154||||TOTAL QU|800-580-3101|V|44040|HOUSTON|0|FORT WORTH|260||260
155||||SCHNEIDE|800-558-3957|V|44040|HOUSTON|0|DALLAS|238|43500|226
156||||XPO LOGI|678-971-0856|V|44040|HOUSTON|0|CORPUS CHRISTI|205|42870|216
157|$3.28|$1,100.00||TOTAL QU|800-580-3101|VR|44040|HOUSTON|0|COMANCHE|263|43000|295
158||||GLEN ROS|254-897-3580|VR|44040|HOUSTON|0|FORT WORTH|260|44500|260
159||||TOTAL QU|800-580-3101|V|44040|HOUSTON|0|ROGERS|151|44000|154
160||||KING OF|316-440-8672|V|44040|HOUSTON|0|PLANO|255|8900|256
161||||TOTAL QU|800-580-3101|V|44040|HOUSTON|0|FORT WORTH|260|10000|260
162|$6.94|$250.00||COVENANT|423-702-2844|VR|44040|HOUSTON|0|FORT WORTH|260||260
163||||XPO LOGI|800-397-7305|V|44040|HOUSTON|0|FORNEY|239|44000|254
164||||SCOTT LO|256-273-7299|V|44040|HOUSTON|0|KELLER|271|42000|274
165||||3 RIVERS|870-548-5003|V|44040|HOUSTON|0|DALLAS|241||240
166||||3 RIVERS|870-548-5003|V|44040|HOUSTON|0|DALLAS|241||240
167||||ALLEN LU|800-254-5863|V|44040|HOUSTON|0|TEXARKANA|288|44112|291
168||||BNSF LOG|844-797-8188|VR|44040|HOUSTON|0|TEMPLE|164||168
169||||KING OF|316-413-3402|V|44040|HOUSTON|0|GRAND PRAIRIE|247|42000|251
170||||SCOTT LO|256-273-7299|V|44040|HOUSTON|0|KELLER|271||274
171||||AMERICAN|903-527-0420|V|44040|HOUSTON|0|SANGER|287|43044|289
172||||ALLEN LU|800-254-5863|V|44040|HOUSTON|0|SHERMAN|300|42908|300
173||||BARTON L|830-522-3161|V|44040|HOUSTON|0|HOUSTON|0||0
174||||VITAL TR|330-983-9962|V|44040|HOUSTON|0|FT HOOD|185|15000|194
175||||TOTAL QU|800-580-3101|VR|44040|HOUSTON|0|HOUSTON|0||0
176||||J B HUNT|866-940-6033|V|44040|HOUSTON|0|GRAND PRAIRIE|247|43000|251
177||||RED RIVE|817-697-4310|VR|44040|HOUSTON|0|HOUSTON|0|21657|0
178||||STRONGHO|888-963-9299|V|DAILY|HOUSTON|0|ROCKWALL|256|42000|260
179||||STRONGHO|888-963-9299|V|DAILY|HOUSTON|0|ROCKWALL|256|42000|260
180||||USA TRUC|972-677-6171|V|44040|HUTCHINS|0|DENTON|278|40959|51
181||||COWAN SY|866-385-4203|V|44040|IRVING|0|SULPHUR SPRINGS|254|35100|91
182||||UNITED V|877-318-2633|VR|44040|KATY|0|BEE CAVE|168|43375|182
183||||UNITED V|877-318-2633|VR|44040|KATY|0|AUSTIN|158|43375|160
184||||XPO LOGI|800-397-7305|V|44040|LA PORTE|0|SUNNYVALE|241|38000|270
185||||TRINITY|800-315-1407|V|44040|LA PORTE|0|AUSTIN|158|43500|188
186|$2.68|$700.00||TRINITY|800-315-1407|V|44040|LA PORTE|0|COPPELL|259|43000|285
187||||SUMMIT E|877-633-1560|V|44040|LA PORTE|0|FORT WORTH|260|40000|284
188||||LIPSEY L|423-475-6468|V|44040|LA PORTE|0|ROANOKE|270|39043|295
189||||LIPSEY L|423-475-6468|V|44040|LA PORTE|0|ROANOKE|270|39043|295
190||||TANDEM L|512-388-9433|V|44040|LA VERNIA|0|FORNEY|239|40000|300
191||||LOGISTIC|716-277-0324|V|44040|LA WARD|0|PASADENA|13|39407|114
192|$2.61|$1,100.00||ROAR LOG|716-775-6208|VR|44040|LANCASTER|0|DAYTON|40|44000|264
193|$2.61|$1,100.00||ROAR LOG|716-775-6208|VR|44040|LANCASTER|0|DAYTON|40|44000|264
194||||PLS LOGI|888-385-2210|V|44040|LANCASTER|0|TYLER|197||100
195||||TOTAL QU|800-580-3101|V|44040|LANTANA|0|SAN ANTONIO|197|10000|297
196||||ALL AMER|314-835-9499|V|44040|LAPORTE|0|ROUND ROCK|160|44000|193
197|$1.89|$475.00||OLYMPIA|956-701-3048|V|44039|LAREDO|0|WAXAHACHIE|217|43500|400
198||||TOTAL QU|800-580-3101|V|44039|LAREDO|0|DALLAS|241|42000|430
199||||TOTAL QU|800-580-3101|V|44039|LAREDO|0|ROSHARON|21|30000|317
200||||TOTAL QU|800-580-3101|V|44039|LAREDO|0|DALLAS|241|35000|430
201|$2.36|$700.00||CIRCLE L|956-726-6991|VR|44039|LAREDO|0|DALLAS|241|26151|430
202|$3.75|$600.00||ALLEN LU|800-825-5863|VR|44039|LAREDO|0|HOUSTON|0|45000|350
203||||ALLEN LU|800-825-5863|VR|44039|LAREDO|0|BROOKSHIRE|35|45000|314
204||||KING OF|316-530-5111|V|44039|LAREDO|0|HOUSTON|0|29000|350
205||||LST SERV|870-277-4365|V|44040|LAREDO|0|SAN ANTONIO|195|45000|156
206||||LST SERV|870-277-4365|VF|44040|LAREDO|0|AUSTIN|158|45000|234
207||||COYOTE L|773-799-2118|VR|44040|LAREDO|0|WEATHERFORD|278|44907|445
208||||COYOTE L|773-799-2118|VR|44040|LAREDO|0|ENNIS|205|44907|414
209|$6.76|$250.00||COYOTE L|773-799-2118|VR|44040|LAREDO|0|FORT WORTH|260|44907|421
210||||CHERIN T|800-323-7091|V|44040|LAREDO|0|ROANOKE|270|43000|442
211||||MEADOW L|816-601-5325|VR|44040|LAREDO|0|SAN ANTONIO|195|44600|156
212||||TOTAL QU|800-580-3101|V|44040|LAREDO|0|SAN ANTONIO|195|12000|156
213||||TRINITY|877-346-4455|VR|44040|LAREDO|0|SUNNYVALE|241|43500|441
214|$1.82|$450.00||TRINITY|817-776-8340|VR|44040|LAREDO|0|HOUSTON|0|39000|350
215||||GLOBALTR|888-954-7231|VR|44040|LAREDO|0|DAYTON|40|44000|386
216||||XPO LOGI|855-744-7976|V|44040|LAREDO|0|LONGVIEW|208|2548|503
217||||XPO LOGI|855-744-7976|V|44040|LAREDO|0|ROSENBERG|30|5796|283
218||||AVENGER|423-708-3700|VR|44040|LAREDO|0|GRAND PRAIRIE|247|44000|439
219||||IMMEC TR|312-445-8795|V|44040|LAREDO|0|DALLAS|241|35000|430
220|$2.48|$600.00||AAFG LLC|5126650995|VR|44040|LAREDO|0|DALLAS|241|43500|430
221||||US LOGIS|817-281-1915|V|44040|LAREDO|0|ROANOKE|270||442
222||||ARPCO TR|817-424-5460|V|44040|LAREDO|0|WACO|181||335
223||||MAX TRAN|423-541-1403|V|44040|LAREDO|0|GRAPEVINE|259|20000|444
224||||GENPRO I|800-243-6770|V|44040|LAREDO|0|VICTORIA|121||186
225||||LANDSTAR|972-885-2682|V|44040|LAREDO|0|SAN ANTONIO|195|43000|156
226|$1.60|$500.00||MACRELLA|915-820-4429|VF|44040|LAREDO|0|HOUSTON|0|14000|350
227||||TRIMAC T|956-726-4800|VR|44040|LAREDO|0|HOUSTON|0|43000|350
228||||REDWOOD|737-238-4634|VR|44040|LAREDO|0|DALLAS|241||430
229||||TOTAL QU|800-580-3101|V|44040|LAREDO|0|TEMPLE|164||301
230|$3.13|$250.00||TOTAL QU|800-580-3101|V|44040|LAREDO|0|DALLAS|238||430
231||||ENGLAND|800-843-0937|V|44040|LAREDO|0|WACO|181||335
232||||C H ROBI|833-428-5247|VR|44040|LAREDO|0|JERSEY VILLAGE|12|42500|344
233||||C H ROBI|833-428-5247|VR|44040|LAREDO|0|COPPELL|259|42500|449
234||||LANDSTAR|956-744-5696|V|44040|LAREDO|0|TYLER|197|44500|468
235||||C H ROBI|833-428-5247|VR|44040|LAREDO|0|HOUSTON|0|26676|350
236||||LANDSTAR|330-654-5898|V|44040|LAREDO|0|HOUSTON|0|7480|350
237|$2.33|$1,000.00||ALLEN LU|800-825-5863|VR|44040|LAREDO|0|BROOKSHIRE|35|45000|314
238||||ALLEN LU|800-825-5863|VR|44040|LAREDO|0|HOUSTON|0|45000|350
239||||GLEN ROS|254-897-3580|V|44040|LAREDO|0|FORT WORTH|260|43400|421
240||||GLEN ROS|254-897-3580|VR|44040|LAREDO|0|FORT WORTH|260|43400|421
241||||REDWOOD|312-698-8300|VR|44040|LAREDO|0|DALLAS|241||430
242||||SUNTECK|210-764-2222|V|44040|LAREDO|0|GRAND PRAIRIE|247||439
243||||BEDROCK|214-865-6611|V|44040|LAREDO|0|HOUSTON|0|44001|350
244|$1.97|$400.00||LANDSTAR|956-269-9698|V|44040|LAREDO|0|FORT WORTH|260|30000|421
245|$2.79|$550.00||MARTEN T|972-560-1266|VR|44040|LAREDO|0|DALLAS|241||430
246|$1.38|$600.00||ARNOLD T|469-329-5700|V|44040|LAREDO|0|SANGER|287||466
247||||LANDSTAR|210-572-4371|V|44040|LAREDO|0|NEW CANEY|32|35000|378
248|$6.04|$308.00||LANDSTAR|956-324-9807|V|44040|LAREDO|0|BAYTOWN|29|40285|374
249||||SCHNEIDE|800-558-3957|V|44040|LAREDO|0|GRAND PRAIRIE|247|43500|430
250||||SCHNEIDE|800-558-3957|V|44040|LAREDO|0|COPPELL|253|10608|444
251||||RYAN TRA|913-335-9316|V|44040|LAREDO|0|FORT WORTH|260||421
252||||RYAN TRA|888-492-8107|V|44040|LAREDO|0|FORT WORTH|260|4685|421
253||||INFINITE|956-267-7569|V|DAILY|LAREDO|0|HOUSTON|0|43000|350
254||||INFINITE|956-267-7569|V|DAILY|LAREDO|0|NEW BRAUNFELS|176|43000|187
255||||INFINITE|956-267-7569|V|DAILY|LAREDO|0|SEALY|47|43000|302
256||||C H ROBI|833-428-5247|VR|44040|LOLITA|0|SEGUIN|160|24995|113
257||||ARPCO TR|817-328-0000|V|44040|LONGVIEW|0|VICTORIA|121||335
258||||ARNOLD T|469-329-5700|VR|44039|LUBBOCK|0|DALLAS|241||347
259|$3.08|$600.00||TOTAL QU|800-580-3101|VR|44040|LUBBOCK|0|HOUSTON|0|44000|572
260||||BNSF LOG|847-463-5128|V|44040|LUFKIN|0|DEER PARK|19|44500|130
261||||SCOTT LO|919-415-2016|V|44040|MAURICEVILLE|0|IRVING|253|43186|292
262||||TOTAL QU|800-580-3101|V|44039|MCALLEN|0|FORT WORTH|260|40000|496
263||||SAFER LO|423-708-7141|V|44040|MCALLEN|0|HOUSTON|0|22000|363
264||||TOTAL QU|800-580-3101|V|44040|MCKINNEY|0|DALLAS|241|30000|32
265||||TOTAL QU|800-580-3101|VR|44040|MEMPHIS|0|HOUSTON|0|44000|512
266||||TOTAL QU|800-580-3101|V|44040|MERCEDES|0|IRVING|253|10000|540
267|$1.52|$375.00||PRIORITY|570-674-4698|V|44040|MEXIA|0|WAXAHACHIE|217|44000|66
268||||LANDSTAR|210-318-4560|V|44040|MIDLAND|0|HOCKLEY|34|43000|480
269||||PLS LOGI|724-814-5858|V|44040|MIDLOTHIAN|0|LEWISVILLE|261||48
270|$2.26|$600.00||PLS LOGI|724-814-5858|V|44040|MIDLOTHIAN|0|LEWISVILLE|261||48
271||||ACTION E|773-832-8600|VF|44039|MILLSAP|0|BEAUMONT|86|40000|347
272||||ACTION E|773-832-8600|VF|44039|MILLSAP|0|HOUSTON|0|40000|304
273||||ACTION E|773-832-8600|VF|44040|MILLSAP|0|BEAUMONT|86|40000|347
274|$2.27|$825.00||ACTION E|773-832-8600|VF|44040|MILLSAP|0|HOUSTON|0|40000|304
275||||TRINITY|806-722-0500|VF|44040|MILLSAP|0|BEAUMONT|86|45000|347
276||||ONLINE L|800-476-7977|VF|44040|MILLSAP|0|MCQUEENEY|163|46000|247
277||||TRI-STAT|843-407-7919|FSDV|44040|MILLSAP|0|BEAUMONT|86||347
278||||MEADOW L|406-281-8964|V|44040|MINERAL WELLS|0|DALLAS|241|13200|80
279||||MEADOW L|406-281-8964|V|44040|MINERAL WELLS|0|DALLAS|241|13200|80
280||||MEADOW L|406-281-8964|V|44040|MINERAL WELLS|0|DALLAS|241|13200|80
281||||MEADOW L|406-281-8964|V|44040|MINERAL WELLS|0|DALLAS|241|13200|80
282||||MEADOW L|406-200-7600|V|44040|MINERAL WELLS|0|DALLAS|241||80
283||||TRINITY|800-210-3000|V|44040|MISSOURI CITY|0|DALLAS|241|40000|257
284||||BNSF LOG|844-797-8188|VR|44040|MISSOURI CITY|0|HOUSTON|0||17
285||||BNSF LOG|844-797-8188|VR|44040|MISSOURI CITY|0|HOUSTON|0||17
286||||TRINITY|800-210-3000|VA|44040|MISSOURI CITY|0|BRASHEAR|250|40000|284
287||||TOTAL QU|800-580-3101|VR|44039|MOUNT VERNON|0|HICO|251|45000|203
288||||TOTAL QU|800-580-3101|VR|44039|NEW BOSTON|0|HICO|251|45000|256
289||||TOTAL QU|800-580-3101|VR|44040|NEW BOSTON|0|HICO|251|45000|256
290||||KNIGHT -|800-477-8025|V|44040|NORTHLAKE|0|NEW BRAUNFELS|175|37589|0
291||||KNIGHT -|800-477-8025|V|44040|NORTHLAKE|0|WOODWAY|184|30424|123
292|$3.42|$400.00||C H ROBI|833-428-5247|V|44040|ODEM|0|SAN ANTONIO|197|40000|132
