_id_|RATE PER MILE|RATE POSTED|MARKET RATE|SHIPPER NAME|SHIPPER CONTACT NUMBER|EQUIPMENT TYPE|PICKUP DATE|ORIGIN CITY|DIST FROM ORIGIN|DEST CITY|DISTANCE FROM DESTINATION|WEIGHT|MILES
96||||RYAN TRA|888-492-3628|VR|Jul-22|HOUSTON|0|SAN ANTONIO|195|44565 |197
97||$500||FITZMARK|317-475-0960|V|DAILY|HOUSTON|0|SAN MARCOS|175||165
98||$500||J H ROSE|956-217-5263|V|Jul-22|HURST|0|SAN ANTONIO|195||278
99||||BNSF LOG|866-622-9910|V|Jul-22|HUTCHINS|0|DAYTON|40|41217 |258
100||||XPO LOGI|855-744-7976|V|Jul-22|IRVING|0|HOUSTON|0|43910 |250
101||||C H ROBI|833-428-5247|VR|Jul-22|LA PORTE|0|PALESTINE|150|45200 |190
102||$1,000||COYOTE L|773-799-2118|V|Jul-22|LANCASTER|0|GALVESTON|50|10000 |284
103||$600||KNIGHT -|800-477-8025|V|Jul-22|LANCASTER|0|HOUSTON|12|20323 |234
104||||ROAR LOG|716-775-6208|VR|Jul-22|LANCASTER|0|TOMBALL|30|44000 |217
105||||FAIRMONT|310-888-1820|V|Jul-22|LAREDO|0|HOUSTON|0|34000 |350
106||||LANDSTAR|956-269-9691|V|Jul-22|LAREDO|0|EUNICE|200|17920 |551
107||||LANDSTAR|956-324-9807|V|Jul-22|LAREDO|0|BAYTOWN|29|40285 |374
108||||LANDSTAR|919-935-0995|V|Jul-22|LAREDO|0|HOUSTON|0|5000 |350
109||||LANDSTAR|956-744-5696|V|Jul-22|LAREDO|0|HOUSTON|0|45000 |350
110||||LANDSTAR|210-572-4371|V|Jul-22|LAREDO|0|PASADENA|13|1000 |363
111||||VIRGINIA|800-807-7317|V|Jul-22|LAREDO|0|HOUSTON|0|42000 |350
112||$1,200||J H ROSE|956-217-5264|VR|Jul-22|LAREDO|0|PALESTINE|150||414
113||$1,000||LANDSTAR|210-272-9850|V|Jul-22|LAREDO|0|HOUSTON|0|42000 |350
114||||ALLEN LU|800-254-5863|V|Jul-22|LAREDO|0|PEARLAND|18|42074 |319
115||$1,100||MATSON L|870-627-3885|V|Jul-22|LAREDO|0|HOUSTON|0|15000 |350
116||$1,100||RFX INC|870-518-4395|V|Jul-22|LAREDO|0|HOUSTON|0|15000 |350
117||$1,100||ASCENT G|870-520-7485|V|Jul-22|LAREDO|0|HOUSTON|0|15000 |350
118||||C H ROBI|833-428-5247|VR|Jul-22|LAREDO|0|HOUSTON|0|42000 |350
119||$1,100||LANDSTAR|210-272-9850|V|Jul-22|LAREDO|0|DAYTON|40|42000 |386
120||$1,000||ARMSTRON|210-330-6689|V|Jul-22|LAREDO|0|HOUSTON|0|40000 |350
121||||C H ROBI|833-428-5247|V|Jul-22|LAREDO|0|TYLER|197|16400 |468
122||||REDWOOD|312-698-8300|VR|Jul-22|LAREDO|0|HOUSTON|0||350
123||||SCHNEIDE|800-558-3957|V|Jul-22|LAREDO|0|PASADENA|25|43632 |333
124||||INFINITE|956-267-7569|V|DAILY|LAREDO|0|HOUSTON|0|43000 |350
125||||INFINITE|956-267-7569|V|DAILY|LAREDO|0|NEW BRAUNFELS|176|43000 |187
126||||INFINITE|956-267-7569|V|DAILY|LAREDO|0|SEALY|47|43000 |302
127||||C H ROBI|833-428-5247|V|Jul-22|LEWISVILLE|0|HOUSTON|0|30874 |262
128||||C H ROBI|833-428-5247|V|Jul-22|LEWISVILLE|0|HOUSTON|0|27031 |262
129||||WORLDWID|888-956-7447|V|Jul-22|MARBLE FALLS|0|SAN ANTONIO|195|4000 |86
130||||FEDEX CU|855-817-5507|V|Jul-22|MARSHALL|0|SAN MARCOS|175|32128 |319
131||||BECKER L|630-529-0700|V|Jul-22|MESQUITE|0|CONROE|39|45000 |203
132||||ONLINE L|800-476-7977|VF|Jul-22|MILLSAP|0|AUSTIN|158|46000 |194
133||||ONLINE L|800-476-7977|VF|Jul-22|MILLSAP|0|ROUND ROCK|160|46000 |183
134||||TRINITY|806-722-0500|VF|Jul-22|MILLSAP|0|MCQUEENEY|163|45000 |247
135||||BEDROCK|469-238-0320|V|Jul-22|MINERAL WELLS|0|KILGORE|199|25000 |199
136||||ALLIED A|713-589-9499|V|Jul-22|MOUNT PLEASANT|0|HOUSTON|0||257
137||||SCOTT LO|706-314-0500|V|Jul-22|PARIS|0|BROOKSHIRE|35|15000 |367
138||||EPES LOG|866-247-0691|V|Jul-22|PARIS|0|BROOKSHIRE|35|40783 |367
139||||XPO LOGI|855-744-7976|V|Jul-22|PASADENA|0|SAN ANTONIO|195|45238 |211
140||$450||TA SERVI|888-502-8639|V|Jul-22|PASADENA|0|MEXIA|162|44500 |177
141||||PROPAK L|407-730-9223|V|Jul-22|PLAINVIEW|0|SAN ANTONIO|195|40000 |450
142||$550||KIRSCH T|531-213-2145|V|Jul-22|ROANOKE|0|BRYAN|105|19000 |189
143||$1,100||KIRSCH T|531-213-2145|V|Jul-22|ROANOKE|0|SULPHUR|136|35000 |369
144||$500||KIRSCH T|531-213-2145|V|Jul-22|ROANOKE|0|TYLER|197|18000 |130
145||||ASCENT G|800-572-6267|V|Jul-22|SAGINAW|0|VICTORIA|121|46530 |298
146||||EDGE LOG|312-319-4766|VR|Jul-22|SAN ANTONIO|0|SAN ANTONIO|195|45379 |0
147||$150||GLOBAL H|210-349-4600|VR|Jul-22|SAN ANTONIO|0|HOUSTON|0|2250 |196
148||||BARTON L|830-522-3161|V|Jul-22|SAN ANTONIO|0|PEARLAND|18||212
149||$500||J H ROSE|956-217-5263|V|Jul-22|SAN ANTONIO|0|HOUSTON|0||196
150||$400||LOGISTIC|716-308-6118|V|Jul-22|SAN ANTONIO|0|HOUSTON|0|43000 |196
151||||PLS LOGI|469-513-4854|V|Jul-22|SAN SABA|0|EUNICE|200||456
152||||RYAN TRA|888-492-3627|V|Jul-22|SHERMAN|0|KATY|22|44000 |322
153||$450||TA SERVI|888-502-8639|V|Jul-22|SPRING|0|MEXIA|162|44500 |141
154||||HUB HIGH|412-787-6210|V|Jul-22|SUNNYVALE|0|LAKE CHARLES|147|1000 |335
155||||TRINITYE|972-317-8911|VA|Jul-22|TEMPLE|0|SAN ANTONIO|195|15000 |146
156||$500||D & L TR|682-888-4588|V|Jul-22|TOMBALL|0|WACO|181|44500 |183
157||$475||ONLINE F|651-468-6868|V|Jul-22|TYLER|0|MAGNOLIA|50|43000 |205
158||||EPES LOG|855-600-8664|V|Jul-22|TYLER|0|HOUSTON|0|14592 |220
159||||MOX LOGI|305-282-3330|V|Jul-22|WILMER|0|SEALY|47|38094 |222
160||||MOX LOGI|305-282-3330|V|Jul-22|WILMER|0|PALESTINE|150|38100 |96
161||$501||US XPRES|312-660-2222|V|Jul-22|WILMER|0|HOUSTON|0|29605 |222
162||||USA TRUC|972-677-6171|V|Jul-22|WILMER|0|NEW BRAUNFELS|176|40725 |244
163||||C H ROBI|833-428-5247|V|Jul-22|ALVARADO|161|CARROLLTON|256|25000 |56
164|$3.82|$500||COYOTE L|773-799-2118|V|Jul-22|ARLINGTON|189|TEMPLE|164|42797 |131
165|$2.80|$1,000||MAX TRAN|423-903-0757|V|Jul-22|ARLINGTON|189|LAKE CHARLES|147|15000 |357
166|$4.62|$600||RED RIVE|817-697-4310|VR|Jul-22|ARLINGTON|189|FLINT|190|9280 |130
167|$3.06|$600||BLAKEMAN|817-509-9781|VA|Jul-22|AUSTIN|0|DALLAS|241|28500 |196
168||||SCHNEIDE|800-558-3957|V|Jul-22|AUSTIN|15|GEISMAR|290|43350 |455
169||||XPO LOGI|800-397-7305|V|Jul-22|AUSTIN|0|FORNEY|239|44000 |216
170||||LANDSTAR|985-705-7210|V|Jul-22|BAYTOWN|186|SHREVEPORT|232|40500 |258
171|$3.13|$650||SMARTWAY|816-398-7818|VR|Jul-22|BAYTOWN|186|NEW LONDON|191|40500 |208
172||||SEAL TRA|847-884-4900|VR|Jul-22|BAYTOWN|186|NEW ROADS|268|45562 |255
173||||SEAL TRA|847-884-4900|VR|Jul-22|BAYTOWN|186|CARENCRO|220|44062 |200
174|$1.55|$400||MANNING'|800-228-2761|V|Jul-22|BAYTOWN|186|SHREVEPORT|232|44500 |258
175||||ADDISON|972-824-3001|V|Jul-22|BAYTOWN|186|CARENCRO|220||200
176||||LANDSTAR|919-935-0995|V|Jul-22|BROWNWOOD|139|WACO|181|43000 |122
177||||WORLDWID|888-956-7447|V|Jul-22|BURNET|53|BROOKSHIRE|35|12000 |184
178|$8.33|$200||COYOTE L|773-799-2118|VR|Jul-22|CHANNELVIEW|175|HOUSTON|0|39289 |24
179||||C H ROBI|833-428-5247|V|Jul-22|CLEBURNE|162|BRENHAM|70|11505 |185
180|$2.21|$400||SCHOOLEX|8556873923|V|Jul-22|COLLEGE STATION|99|DALLAS|241|6000 |181
181||||RYAN TRA|888-492-8107|VR|Jul-22|CORPUS CHRISTI|190|FORT WORTH|260|44000 |406
182||||BNSF LOG|800-577-3878|V|Jul-22|CORSICANA|160|AUSTIN|158|36000 |177
183|$4.09|$450||AMINO TR|281-763-7403|V|Jul-22|CORSICANA|160|TEMPLE|164|40000 |110
184|$3.64|$400||AMINO TR|281-763-7403|V|Jul-22|CORSICANA|160|TEMPLE|164|40000 |110
185||||TANDEM L|512-388-9433|V|Jul-22|CREEDMOOR|15|FORNEY|239|45000 |234
186|$2.50|$450||TA SERVI|888-502-8639|V|Jul-22|CROSBY|180|MEXIA|162|44500 |180
187|$2.29|$550||COYOTE L|773-799-2118|V|Jul-22|DALLAS|197|HOUSTON|0|40000 |240
188||||INTERSTA|727-822-9999|VR|Jul-22|DALLAS|197|HOUSTON|0||240
189|$3.33|$800||A 2 Z TR|972-694-0004|VR|Jul-22|DALLAS|197|HOUSTON|0|30000 |240
190||||EDGE LOG|312-319-4766|V|Jul-22|DALLAS|197|BONHAM|295|22975 |71
191||||C H ROBI|833-428-5247|V|Jul-22|DALLAS|197|SAINT GABRIEL|285|36281 |430
192||||A 2 Z TR|972-694-0004|VR|Jul-22|DALLAS|197|HOUSTON|0|41000 |240
193|$2.50|$600||CARGOBOT|305-749-5490|VR|Jul-22|DALLAS|197|HOUSTON|0||240
194|$2.50|$600||RED RIVE|817-697-4310|V|Jul-22|DALLAS|197|HOUSTON|0|44000 |240
195||||SPARTAN|312-605-1657|VR|Jul-22|DALLAS|197|HOUSTON|0||240
196||||R & R EX|317-288-9820|V|Jul-22|DALLAS|197|BIG SANDY|219|8552 |104
197||||TRANSPLA|479-770-7921|V|Jul-22|DALLAS|197|TERRELL|242|42516 |34
198||||SCHNEIDE|800-558-3957|V|Jul-22|DALLAS|197|HOUSTON|12|42500 |246
199||||C H ROBI|833-428-5247|V|Jul-22|DALLAS|197|BATON ROUGE|277|44951 |417
200||||ABOUND L|813-320-0499|VR|Jul-22|DALLAS|197|HOUSTON|0|25000 |240
201|$2.50|$600||TA SERVI|317-419-5011|V|Jul-22|DALLAS|197|HOUSTON|0|40000 |240
202||||SCOTT LO|706-314-0500|V|Jul-22|DALLAS|197|SEALY|47|25000 |240
203||||REDWOOD|312-698-8109|V|Jul-22|DALLAS|197|SAN MARCOS|175||226
204||||SPARTAN|312-605-8600|VR|Jul-22|DALLAS|197|HOUSTON|0||240
205||||AMINO TR|817-440-2450|V|Jul-22|DALLAS|197|HOUSTON|0||240
206||||BNSF LOG|844-797-8188|VR|Jul-22|DALLAS|197|ALEXANDRIA|251||308
207||||PLS LOGI|813-518-4955|V|Jul-22|DALLAS|193|STAFFORD|14||258
208|$1.89|$450||RED RIVE|817-697-4310|V|Jul-22|DALLAS|197|HUMBLE|21|20000 |238
209|$3.39|$400||PROPAK L|615-647-6833|V|Jul-22|DALLAS|197|MOUNT PLEASANT|256|40000 |118
210|$3.39|$400||PROPAK L|615-647-6833|V|Jul-22|DALLAS|197|MOUNT PLEASANT|256|43000 |118
211|$2.08|$500||RED RIVE|817-697-4310|V|Jul-22|DALLAS|197|HOUSTON|0|26000 |240
212|$1.89|$612||LOADSMAR|917-438-9292|V|Jul-22|EL CAMPO|127|GRAND PRAIRIE|247|45000 |323
213||||AMINO TR|817-440-2451|V|Jul-22|ENNIS|172|SHERMAN|300||97
214||||C H ROBI|833-428-5247|V|Jul-22|FAIRFIELD|160|BASTROP|129|21333 |156
215|$3.44|$450||DJM LOGI|847-306-3557|VR|Jul-22|FORT WORTH|188|HAWKINS|226|21778 |131
216||||COYOTE L|773-799-2118|V|Jul-22|FORT WORTH|188|HOUSTON|0|42003 |261
217|$2.96|$717||CHOPTANK|800-568-2240|VR|Jul-22|FORT WORTH|188|SEALY|47|9175 |242
218|$2.75|$717||CHOPTANK|800-568-2240|VR|Jul-22|FORT WORTH|188|HOUSTON|0|40353 |261
219|$2.96|$717||CHOPTANK|800-568-2240|VR|Jul-22|FORT WORTH|188|SEALY|47|38195 |242
220|$2.30|$600||CARGOBOT|305-749-5490|VR|Jul-22|FORT WORTH|188|HOUSTON|0||261
221||||SCHNEIDE|800-558-3957|V|Jul-22|FORT WORTH|198|MISSOURI CITY|14|35000 |278
222||||PATHMARK|901-362-1555|VR|Jul-22|FORT WORTH|188|HOUSTON|0|43817 |261
223||||ROAR LOG|716-775-6208|VR|Jul-22|FORT WORTH|188|DAYTON|40||291
224||||RYAN TRA|844-908-9899|V|Jul-22|FORT WORTH|188|SHREVEPORT|232|40286 |223
225||||SCHNEIDE|800-558-3957|VV|Jul-22|FORT WORTH|188|ENNIS|205|44120 |61
226||||WESTERN|866-235-9327|V|Jul-22|FORT WORTH|188|MOUNT VERNON|262|32008 |138
227||||C H ROBI|833-428-5247|V|Jul-22|FORT WORTH|188|HOUSTON|0|39939 |261
228|$2.87|$750||TANAGER|210-314-6528|V|Jul-22|FT WORTH|188|HOUSTON|0||261
229||||AMERICAN|817-249-2990|V|Jul-22|FT WORTH|188|HOUSTON|0|10500 |261
230||||SCHNEIDE|800-558-3957|V|Jul-22|FT WORTH|180|LANCASTER|230|40662 |35
231||||HARTE-HA|800-234-4487|VR|Jul-22|GRAND PRAIRIE|193|HOUSTON|0|11028 |251
232||||C H ROBI|833-428-5247|V|Jul-22|GRAND PRAIRIE|193|OPELOUSAS|220|2790 |382
233|$2.38|$500||DJM LOGI|847-306-3557|V|Jul-22|HOUSTON|158|LONGVIEW|208|42000 |210
234||||XPO LOGI|855-744-7976|V|Jul-22|HOUSTON|158|PORT ALLEN|272|28591 |266
235||||XPO LOGI|855-744-7976|V|Jul-22|HOUSTON|158|PORT ALLEN|272|30773 |266
236||||COYOTE L|773-799-2118|VR|Jul-22|HOUSTON|158|TEXARKANA|290|40862 |302
237|$2.80|$615||CHOPTANK|800-568-2240|V|Jul-22|HOUSTON|158|TYLER|197|40000 |220
238||||LANDSTAR|479-250-4218|V|Jul-22|HOUSTON|158|ALEXANDRIA|251|40000 |242
239||||CORNERST|866-420-4388|V|Jul-22|HOUSTON|158|HOUSTON|0|43651 |0
240||||TRINITY|800-315-1407|V|Jul-22|HOUSTON|158|SHREVEPORT|232|42564 |242
241||||PLS LOGI|314-768-9360|V|Jul-22|HOUSTON|169|SHREVEPORT|237||242
242|$1.95|$450||LEGACY L|801-296-7420|V|Jul-22|HOUSTON|158|MIDLOTHIAN|236|35000 |231
243||||SCHNEIDE|800-558-3957|V|Jul-22|HOUSTON|171|DALLAS|244|40000 |257
244||||SCOTT LO|706-314-0500|V|Jul-22|HOUSTON|158|GRAND PRAIRIE|247|18000 |251
245|$3.15|$700||KLLM LOG|504-210-0080|V|Jul-22|HOUSTON|158|OPELOUSAS|220|6500 |222
246||||MODE TRA|281-456-2040|V|Jul-22|HOUSTON|158|ANACOCO|187|7745 |220
247||||R&R EXPR|909-229-7195|V|Jul-22|HOUSTON|158|SHREVEPORT|232|40000 |242
248|$4.73|$350||ABSOLUTE|817-782-9073|V|Jul-22|HOUSTON|158|FREEPORT|58|43300 |74
249|$5.00|$350||ABSOLUTE|817-782-9073|V|Jul-22|HOUSTON|158|CLUTE|52|43300 |70
250|$2.74|$450||TA SERVI|888-502-8639|V|Jul-22|HOUSTON|158|MEXIA|162|44500 |164
251||||DONNELLY|856-310-9936|V|Jul-22|HOUSTON|158|SCOTT|213||212
252|$1.46|$350||CARGO SO|732-200-2550|V|Jul-22|HOUSTON|158|DALLAS|241|45000 |240
253|$1.76|$450||TC FREIG|281-806-7615|VR|Jul-22|HOUSTON|158|ARLINGTON|251|44000 |256
254||||C H ROBI|833-428-5247|V|Jul-22|HOUSTON|158|DE BERRY|205|44000 |211
255||||HUB HIGH|412-787-6248|V|Jul-22|HOUSTON|158|PLANO|255|43356 |256
256||||KTI INC|612-256-2991|V|Jul-22|HOUSTON|158|DALLAS|241||240
257||||CRST LOG|866-641-5647|V|Jul-22|HOUSTON|158|MAGNOLIA|50|44097 |52
258||||DONNELLY|856-310-9936|V|Jul-22|HOUSTON|158|DENHAM SPRINGS|285||285
259|$3.51|$575||US LOGIS|801-707-7266|V|Jul-22|HOUSTON|158|BRONSON|166|2700 |164
260||||C H ROBI|833-428-5247|V|Jul-22|HOUSTON|158|SHREVEPORT|232|43500 |242
261||||NT LOGIS|469-362-5050|VR|Jul-22|HOUSTON|158|DALLAS|241||240
262||||NT LOGIS|469-362-5050|VR|Jul-22|HOUSTON|158|HAWKINS|226||230
263||||GILTNER|817-672-5709|V|Jul-22|HOUSTON|158|ALEXANDRIA|251|18000 |242
264||||ALLEN LU|800-254-5863|V|Jul-22|HOUSTON|169|PARIS|292|44432 |337
265||||KLLM LOG|504-210-0080|V|Jul-22|HOUSTON|158|OPELOUSAS|220|6500 |222
266|$3.07|$500||RED RIVE|817-697-4310|VR|Jul-22|HOUSTON|158|AUSTIN|158|40800 |163
267|$2.54|$500||RED RIVE|817-697-4310|VR|Jul-22|HOUSTON|158|SAN ANTONIO|195|44239 |197
268||||C H ROBI|833-428-5247|VR|Jul-22|HOUSTON|158|BATON ROUGE|277|42701 |270
269||||C H ROBI|833-428-5247|VR|Jul-22|HOUSTON|158|BATON ROUGE|277|43616 |270
