Vehicle,ShipmentId,Backhaul Origin,Backhaul Destination,,MatchId,ShipperName,ShipperContact,Match Origin,Match Destination,Inc. miles,Inc. Minutes,Benefit
"veh-25698028","25698028","PORTLAND, OR","ANCHORAGE, AK","","10","COYOTE L","773-799-2118","RENTON, WA","CENTRALIA, WA","105.78684429642","240","171.131523730225"
"veh-25698029","25698029","PORTLAND, OR","BELLINGHAM, WA","","9","CHOPTANK","800-568-2240","RENTON, WA","TACOMA, WA","26.2971155877565","240","309.929403606447"
"veh-25694387","25694387","MILWAUKIE, OR","ANCHORAGE, AK","","51","MX LOGIS","541-816-4376","SELAH, WA","FOREST GROVE, OR","97.3051064411498","352","269.25464106611"
"veh-25698028","25698028","PORTLAND, OR","ANCHORAGE, AK","","50","MX LOGIS","541-816-4376","SELAH, WA","FOREST GROVE, OR","97.3051064411498","352","269.25464106611"
"veh-25698015","25698015","MILWAUKIE, OR","SPOKANE, WA","","49","COVENANT","423-702-2844","SELAH, WA","WOODBURN, OR","96.8701455254949","336","275.037228279916"
"veh-25698028","25698028","PORTLAND, OR","ANCHORAGE, AK","","48","COVENANT","423-702-2844","SELAH, WA","WOODBURN, OR","96.8701455254949","336","275.037228279916"
"veh-25689560","25689560","PORTLAND, OR","CLE ELUM, WA","","25","SCOTT LO","706-314-0500","SHELTON, WA","EUGENE, OR","288.436874743684","389","31.5338211357865"
"veh-25698029","25698029","PORTLAND, OR","BELLINGHAM, WA","","26","SCOTT LO","706-314-0500","SHELTON, WA","EUGENE, OR","280.516236469609","447","21.7788409658618"
"veh-25695305","25695305","PORTLAND, OR","ANCHORAGE, AK","","55","TOTAL QU","800-580-3101","SPOKANE, WA","DAYTON, OR","65.9127344128649","186","360.966973392819"
"veh-25689541","25689541","PORTLAND, OR","WARRENTON, OR","","4","KNIGHT -","800-477-8025","SUMNER, WA","ALBANY, OR","356.976773087104","655","62.0540744238839"
"veh-25698029","25698029","PORTLAND, OR","BELLINGHAM, WA","","5","KNIGHT -","800-477-8025","SUMNER, WA","BEAVERTON, OR","23.7041271577168","234","443.965129953894"
"veh-25689560","25689560","PORTLAND, OR","CLE ELUM, WA","","3","KNIGHT -","800-477-8025","SUMNER, WA","CLACKAMAS, OR","24.8853567300881","167","464.636612391829"
"veh-25689560","25689560","PORTLAND, OR","CLE ELUM, WA","","6","KNIGHT -","800-477-8025","SUMNER, WA","EUGENE, OR","254.078690643369","417","261.855145040824"
"veh-25698031","25698031","PORTLAND, OR","ARLINGTON, WA","","1","KNIGHT -","800-477-8025","SUMNER, WA","HILLSBORO, OR","28.2494687263102","245","434.978960236287"
"veh-25698027","25698027","PORTLAND, OR","FAIRBANKS, AK","","2","KNIGHT -","800-477-8025","SUMNER, WA","SALEM, OR","182.386568406925","349","368.846515946496"
"veh-25698029","25698029","PORTLAND, OR","BELLINGHAM, WA","","22","EDGE LOG","312-319-4766","TACOMA, WA","PORTLAND, OR","44.5921930729367","258","362.413212173935"
"veh-25698031","25698031","PORTLAND, OR","ARLINGTON, WA","","33","NYC FREI","425-486-5126","TACOMA, WA","TUALATIN, OR","41.990505424584","261","364.495203598991"
"veh-25698031","25698031","PORTLAND, OR","ARLINGTON, WA","","38","PAC RIM","541-879-3061","VANCOUVER, WA","CENTRALIA, WA","158.24623758808","317","8.87077297939941"
"veh-25694387","25694387","MILWAUKIE, OR","ANCHORAGE, AK","","36","SCOTT LO","706-314-0500","WASHOUGAL, WA","SHERWOOD, OR","39.4546832863161","186","392.187473722147"
"veh-25698013","25698013","MILWAUKIE, OR","PORTLAND (AB), OR","","24","SCOTT LO","706-314-0500","WASHOUGAL, WA","SHERWOOD, OR","69.3079150459194","208","349.715326912482"
"veh-25698011","25698011","MILWAUKIE, OR","PORTLAND (MALETIS, OR","","23","SCOTT LO","706-314-0500","WASHOUGAL, WA","THE DALLES, OR","163.693190997552","340","194.868701289556"
